index,index_in_file,peak_frequency,index_in_summary,input_file_dt,freq_group,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
14,59,44160.0,2221,2022-06-15 06:00:00,HF,2022-06-15 06:05:41.732500000,2022-06-15 06:05:41.732500000,2022-06-15 06:05:41.743400000,341.7325,341.7434,44375.0,47480.0,Echolocation,Pipistrellus pipistrellus,0.449,0.517,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_060000.WAV,Foliage,recover-20220616_unit2,10,
396,0,32640.0,25727,2022-06-19 02:00:00,LF,2022-06-19 02:26:19.321500000,2022-06-19 02:26:19.321500000,2022-06-19 02:26:19.337000000,1579.3215,1579.337,31484.0,34905.0,Echolocation,Nyctalus leisleri,0.283,0.565,-1,/mnt/ubna_data_01/recover-20220620_unit2/20220619_020000.WAV,Foliage,recover-20220620_unit2,10,
397,1,16320.0,25728,2022-06-19 02:00:00,LF,2022-06-19 02:28:29.100500000,2022-06-19 02:28:29.100500000,2022-06-19 02:28:29.119700000,1709.1005,1709.1197,15156.0,19141.0,Echolocation,Nyctalus leisleri,0.473,0.502,-1,/mnt/ubna_data_01/recover-20220620_unit2/20220619_020000.WAV,Foliage,recover-20220620_unit2,10,
942,10,16320.0,196729,2022-07-05 12:00:00,LF,2022-07-05 12:19:09.087500000,2022-07-05 12:19:09.087500000,2022-07-05 12:19:09.100100000,1149.0875,1149.1001,15156.0,20588.0,Echolocation,Nyctalus leisleri,0.264,0.51,-1,/mnt/ubna_data_01/recover-20220705_unit2/20220705_120000.WAV,Foliage,recover-20220705_unit2,10,
943,11,16320.0,196730,2022-07-05 12:00:00,LF,2022-07-05 12:19:51.828500000,2022-07-05 12:19:51.828500000,2022-07-05 12:19:51.842600000,1191.8285,1191.8426,15156.0,19714.0,Echolocation,Nyctalus leisleri,0.374,0.517,-1,/mnt/ubna_data_01/recover-20220705_unit2/20220705_120000.WAV,Foliage,recover-20220705_unit2,10,
944,3,15360.0,196735,2022-07-05 12:30:00,LF,2022-07-05 12:38:15.553500000,2022-07-05 12:38:15.553500000,2022-07-05 12:38:15.567500000,495.5535,495.5675,14296.0,20225.0,Echolocation,Nyctalus noctula,0.203,0.506,-1,/mnt/ubna_data_01/recover-20220705_unit2/20220705_123000.WAV,Foliage,recover-20220705_unit2,10,
964,28,24960.0,197915,2022-07-08 12:30:00,LF,2022-07-08 12:35:38.585500000,2022-07-08 12:35:38.585500000,2022-07-08 12:35:38.602200000,338.5855,338.6022,23750.0,28504.0,Echolocation,Nyctalus leisleri,0.34,0.509,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220708_123000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
965,29,24960.0,197916,2022-07-08 12:30:00,LF,2022-07-08 12:35:38.754500000,2022-07-08 12:35:38.754500000,2022-07-08 12:35:38.770600000,338.7545,338.7706,23750.0,28134.0,Echolocation,Nyctalus leisleri,0.49,0.579,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220708_123000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
966,0,26880.0,198039,2022-07-09 03:00:00,LF,2022-07-09 03:11:11.485500000,2022-07-09 03:11:11.485500000,2022-07-09 03:11:11.500499999,671.4855,671.5005,25468.0,29608.0,Echolocation,Nyctalus leisleri,0.48,0.59,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_030000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
977,1,24000.0,201222,2022-07-09 12:00:00,LF,2022-07-09 12:01:53.900500000,2022-07-09 12:01:53.900500000,2022-07-09 12:01:53.918200000,113.9005,113.9182,22890.0,25935.0,Echolocation,Nyctalus leisleri,0.499,0.531,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
978,3,24000.0,201224,2022-07-09 12:00:00,LF,2022-07-09 12:09:08.124500000,2022-07-09 12:09:08.124500000,2022-07-09 12:09:08.139800000,548.1245,548.1398,22031.0,26317.0,Echolocation,Nyctalus leisleri,0.48,0.554,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
979,4,24000.0,201225,2022-07-09 12:00:00,LF,2022-07-09 12:09:19.815500000,2022-07-09 12:09:19.815500000,2022-07-09 12:09:19.831200000,559.8155,559.8312,22031.0,26516.0,Echolocation,Nyctalus leisleri,0.467,0.556,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
980,5,24000.0,201226,2022-07-09 12:00:00,LF,2022-07-09 12:09:32.509499999,2022-07-09 12:09:32.509499999,2022-07-09 12:09:32.525100000,572.5095,572.5251,21171.0,25551.0,Echolocation,Nyctalus leisleri,0.419,0.513,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
981,7,24000.0,201228,2022-07-09 12:00:00,LF,2022-07-09 12:10:59.219500000,2022-07-09 12:10:59.219500000,2022-07-09 12:10:59.236600000,659.2195,659.2366,22890.0,25441.0,Echolocation,Nyctalus leisleri,0.479,0.515,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
982,8,24000.0,201229,2022-07-09 12:00:00,LF,2022-07-09 12:11:43.878500000,2022-07-09 12:11:43.878500000,2022-07-09 12:11:43.892900000,703.8785,703.8929,22031.0,26570.0,Echolocation,Nyctalus leisleri,0.542,0.618,-1,/mnt/ubna_data_01/recover-20220709_unit3/20220709_120000.WAV,Foliage,recover-20220709_unit3,No Valid Info,
990,304,39360.0,226209,2022-07-11 05:30:00,LF,2022-07-11 05:55:52.733500000,2022-07-11 05:55:52.733500000,2022-07-11 05:55:52.749700000,1552.7335,1552.7497,38359.0,42550.0,Echolocation,Pipistrellus nathusii,0.296,0.529,-1,/mnt/ubna_data_01/recover-20220712_unit2/20220711_053000.WAV,Foliage,recover-20220712_unit2,10,
991,106,35520.0,226355,2022-07-11 06:00:00,LF,2022-07-11 06:19:12.219500000,2022-07-11 06:19:12.219500000,2022-07-11 06:19:12.237500000,1152.2195,1152.2375,34921.0,40518.0,Echolocation,Eptesicus serotinus,0.152,0.58,-1,/mnt/ubna_data_01/recover-20220712_unit2/20220711_060000.WAV,Foliage,recover-20220712_unit2,10,
