,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
0,2022-08-26 03:33:18.308500000,2022-08-26 03:33:18.308500000,2022-08-26 03:33:18.321600000,198.3085,198.3216,25468.0,33373.0,Echolocation,Eptesicus serotinus,0.305,0.619,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1,2022-08-26 03:33:18.467500000,2022-08-26 03:33:18.467500000,2022-08-26 03:33:18.477800000,198.4675,198.4778,24609.0,33321.0,Echolocation,Nyctalus leisleri,0.373,0.704,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
2,2022-08-26 03:33:18.733500000,2022-08-26 03:33:18.733500000,2022-08-26 03:33:18.745800000,198.7335,198.7458,24609.0,33000.0,Echolocation,Eptesicus serotinus,0.31,0.651,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
3,2022-08-26 03:33:18.889500000,2022-08-26 03:33:18.889500000,2022-08-26 03:33:18.902400000,198.8895,198.9024,24609.0,31208.0,Echolocation,Nyctalus leisleri,0.21,0.505,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
4,2022-08-26 03:33:19.048500000,2022-08-26 03:33:19.048500000,2022-08-26 03:33:19.061500000,199.0485,199.0615,24609.0,30468.0,Echolocation,Nyctalus leisleri,0.252,0.514,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
5,2022-08-26 03:33:20.078500000,2022-08-26 03:33:20.078500000,2022-08-26 03:33:20.091600000,200.0785,200.0916,23750.0,31325.0,Echolocation,Eptesicus serotinus,0.296,0.502,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
236,2022-08-26 03:37:22.403500000,2022-08-26 03:37:22.403500000,2022-08-26 03:37:22.410600000,442.4035,442.4106,38359.0,45475.0,Echolocation,Pipistrellus nathusii,0.455,0.516,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
618,2022-08-26 03:39:12.421500000,2022-08-26 03:39:12.421500000,2022-08-26 03:39:12.428300000,552.4215,552.4283,37500.0,44532.0,Echolocation,Pipistrellus nathusii,0.399,0.534,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
619,2022-08-26 03:39:12.617500000,2022-08-26 03:39:12.617500000,2022-08-26 03:39:12.624800000,552.6175,552.6248,37500.0,45674.0,Echolocation,Pipistrellus nathusii,0.348,0.515,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
637,2022-08-26 03:39:29.153500000,2022-08-26 03:39:29.153500000,2022-08-26 03:39:29.161700000,569.1535,569.1617,37500.0,44785.0,Echolocation,Pipistrellus nathusii,0.432,0.512,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
789,2022-08-26 03:41:22.410500000,2022-08-26 03:41:22.410500000,2022-08-26 03:41:22.418300000,682.4105,682.4183,38359.0,44705.0,Echolocation,Pipistrellus nathusii,0.369,0.509,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
889,2022-08-26 03:42:40.870500000,2022-08-26 03:42:40.870500000,2022-08-26 03:42:40.878700000,760.8705,760.8787,38359.0,45951.0,Echolocation,Pipistrellus nathusii,0.46,0.571,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1007,2022-08-26 03:43:34.962500000,2022-08-26 03:43:34.962500000,2022-08-26 03:43:34.978400000,814.9625,814.9784,22890.0,28856.0,Echolocation,Nyctalus noctula,0.226,0.5,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1008,2022-08-26 03:43:35.101500000,2022-08-26 03:43:35.101500000,2022-08-26 03:43:35.112600000,815.1015,815.1126,24609.0,31334.0,Echolocation,Nyctalus leisleri,0.359,0.653,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1009,2022-08-26 03:43:35.243500000,2022-08-26 03:43:35.243500000,2022-08-26 03:43:35.257799999,815.2435,815.2578,23750.0,32072.0,Echolocation,Eptesicus serotinus,0.285,0.568,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1011,2022-08-26 03:43:37.472500000,2022-08-26 03:43:37.472500000,2022-08-26 03:43:37.485900000,817.4725,817.4859,23750.0,29275.0,Echolocation,Nyctalus leisleri,0.271,0.522,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1100,2022-08-26 03:43:48.894500000,2022-08-26 03:43:48.894500000,2022-08-26 03:43:48.903800000,828.8945,828.9038,39218.0,45913.0,Echolocation,Pipistrellus nathusii,0.466,0.519,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1256,2022-08-26 03:44:18.594500000,2022-08-26 03:44:18.594500000,2022-08-26 03:44:18.603100000,858.5945,858.6031,37500.0,43859.0,Echolocation,Pipistrellus nathusii,0.568,0.607,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1258,2022-08-26 03:44:21.834500000,2022-08-26 03:44:21.834500000,2022-08-26 03:44:21.846700000,861.8345,861.8467,25468.0,34564.0,Echolocation,Eptesicus serotinus,0.353,0.609,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1260,2022-08-26 03:44:21.968500000,2022-08-26 03:44:21.968500000,2022-08-26 03:44:21.980600000,861.9685,861.9806,25468.0,33623.0,Echolocation,Nyctalus leisleri,0.274,0.6,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1261,2022-08-26 03:44:22.210500000,2022-08-26 03:44:22.210500000,2022-08-26 03:44:22.222300000,862.2105,862.2223,26328.0,33819.0,Echolocation,Nyctalus leisleri,0.291,0.541,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1266,2022-08-26 03:44:22.451500000,2022-08-26 03:44:22.451500000,2022-08-26 03:44:22.464400000,862.4515,862.4644,24609.0,32723.0,Echolocation,Eptesicus serotinus,0.326,0.563,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1269,2022-08-26 03:44:22.585500000,2022-08-26 03:44:22.585500000,2022-08-26 03:44:22.599600000,862.5855,862.5996,25468.0,35394.0,Echolocation,Eptesicus serotinus,0.303,0.519,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1331,2022-08-26 03:44:33.370500000,2022-08-26 03:44:33.370500000,2022-08-26 03:44:33.378400000,873.3705,873.3784,38359.0,44609.0,Echolocation,Pipistrellus nathusii,0.504,0.558,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1397,2022-08-26 03:44:46.873500000,2022-08-26 03:44:46.873500000,2022-08-26 03:44:46.881700000,886.8735,886.8817,38359.0,45174.0,Echolocation,Pipistrellus nathusii,0.424,0.51,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1513,2022-08-26 03:45:07.467500000,2022-08-26 03:45:07.467500000,2022-08-26 03:45:07.479200000,907.4675,907.4792,23750.0,29249.0,Echolocation,Nyctalus leisleri,0.294,0.531,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1614,2022-08-26 03:45:31.213500000,2022-08-26 03:45:31.213500000,2022-08-26 03:45:31.221600000,931.2135,931.2216,38359.0,44826.0,Echolocation,Pipistrellus nathusii,0.352,0.536,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
