start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
31.7415,31.7586,22890.0,26887.0,Echolocation,Nyctalus leisleri,0.502,0.575,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
32.0435,32.0605,23750.0,28504.0,Echolocation,Nyctalus leisleri,0.5,0.608,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
32.3395,32.356700000000004,22890.0,27180.0,Echolocation,Nyctalus leisleri,0.453,0.526,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
32.6235,32.64,23750.0,29189.0,Echolocation,Nyctalus leisleri,0.394,0.553,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
33.3375,33.355199999999996,22890.0,30843.0,Echolocation,Eptesicus serotinus,0.226,0.518,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
33.7685,33.787,22890.0,26505.0,Echolocation,Nyctalus leisleri,0.477,0.526,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
34.0515,34.0698,22890.0,26685.0,Echolocation,Nyctalus leisleri,0.499,0.561,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
34.7815,34.7969,23750.0,28917.0,Echolocation,Nyctalus leisleri,0.572,0.688,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
35.6535,35.6699,23750.0,28203.0,Echolocation,Nyctalus leisleri,0.482,0.561,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
36.9885,37.0064,22890.0,26246.0,Echolocation,Nyctalus leisleri,0.489,0.528,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
38.7535,38.7714,22031.0,27968.0,Echolocation,Nyctalus leisleri,0.322,0.556,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
39.195499999999996,39.2109,22890.0,28143.0,Echolocation,Nyctalus leisleri,0.314,0.51,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
39.6475,39.664699999999996,22890.0,27157.0,Echolocation,Nyctalus leisleri,0.354,0.506,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
39.954499999999996,39.9735,22031.0,30527.0,Echolocation,Eptesicus serotinus,0.23,0.516,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
40.4035,40.426,22031.0,28081.0,Echolocation,Nyctalus noctula,0.277,0.516,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
41.2935,41.3115,22031.0,27413.0,Echolocation,Nyctalus leisleri,0.362,0.517,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
41.5015,41.5199,22890.0,26462.0,Echolocation,Nyctalus leisleri,0.613,0.657,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
42.1265,42.143100000000004,22890.0,29285.0,Echolocation,Nyctalus leisleri,0.335,0.595,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
42.6015,42.618,22031.0,26495.0,Echolocation,Nyctalus leisleri,0.486,0.566,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
43.082499999999996,43.0984,22890.0,27995.0,Echolocation,Nyctalus leisleri,0.414,0.567,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
43.4305,43.4467,22890.0,26389.0,Echolocation,Nyctalus leisleri,0.44,0.522,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
43.8135,43.8271,22890.0,29578.0,Echolocation,Nyctalus leisleri,0.399,0.637,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
44.545500000000004,44.5614,22890.0,30584.0,Echolocation,Eptesicus serotinus,0.246,0.555,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
45.326499999999996,45.3435,22890.0,27133.0,Echolocation,Nyctalus leisleri,0.46,0.566,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
46.0655,46.079899999999995,22890.0,28764.0,Echolocation,Nyctalus leisleri,0.385,0.59,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
47.2555,47.2691,22890.0,29032.0,Echolocation,Nyctalus leisleri,0.322,0.628,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
47.8855,47.8986,23750.0,29685.0,Echolocation,Nyctalus leisleri,0.559,0.726,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
48.188500000000005,48.2012,24609.0,30178.0,Echolocation,Nyctalus leisleri,0.378,0.566,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
48.4875,48.5004,23750.0,29815.0,Echolocation,Nyctalus leisleri,0.502,0.703,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
48.7675,48.7809,24609.0,30603.0,Echolocation,Nyctalus leisleri,0.284,0.59,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
49.039500000000004,49.0531,23750.0,30292.0,Echolocation,Nyctalus leisleri,0.442,0.663,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
49.3335,49.3448,23750.0,30839.0,Echolocation,Nyctalus leisleri,0.411,0.644,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
49.6175,49.6318,24609.0,30857.0,Echolocation,Nyctalus leisleri,0.378,0.618,-1,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220729_103000.WAV,recover-20220801,UBNA_004,Carp Pond
