start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
3.2165,3.2314,23750.0,29660.0,Nyctalus leisleri,0.251,0.522,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
3.5965,3.6106,24609.0,30159.0,Nyctalus leisleri,0.29,0.566,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
4.3435,4.3596,24609.0,29801.0,Nyctalus leisleri,0.387,0.562,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
6.7205,6.7332,24609.0,29508.0,Nyctalus leisleri,0.322,0.502,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
7.2805,7.2988,23750.0,32010.0,Eptesicus serotinus,0.291,0.531,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
8.6815,8.6977,25468.0,29112.0,Nyctalus leisleri,0.4,0.517,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
9.8515,9.8671,23750.0,30799.0,Eptesicus serotinus,0.264,0.57,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
10.1125,10.127,23750.0,30040.0,Nyctalus leisleri,0.33,0.555,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
14.5645,14.5788,23750.0,28643.0,Nyctalus leisleri,0.385,0.547,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
38.7255,38.7427,23750.0,27670.0,Nyctalus leisleri,0.414,0.504,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
39.4135,39.4279,23750.0,28170.0,Nyctalus leisleri,0.406,0.541,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
39.8285,39.844,23750.0,28411.0,Nyctalus leisleri,0.394,0.541,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
40.1115,40.1242,23750.0,29733.0,Nyctalus leisleri,0.372,0.568,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
40.2565,40.2679,24609.0,29706.0,Nyctalus leisleri,0.529,0.663,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
40.3895,40.4002,25468.0,31534.0,Nyctalus leisleri,0.337,0.605,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_004/20220801_063000.WAV,recover-20220801,UBNA_004,Carp Pond
