start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
55.9055,55.915099999999995,38359.0,42700.0,Echolocation,Pipistrellus nathusii,0.159,0.205,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
57.8695,57.8836,23750.0,28722.0,Echolocation,Nyctalus leisleri,0.086,0.203,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
276.7545,276.7712,22890.0,26631.0,Echolocation,Nyctalus leisleri,0.096,0.211,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
410.6785,410.6908,26328.0,30977.0,Echolocation,Nyctalus leisleri,0.11,0.222,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
424.9885,425.0008,37500.0,41795.0,Echolocation,Pipistrellus nathusii,0.195,0.214,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
512.2695,512.2817,24609.0,29913.0,Echolocation,Eptesicus serotinus,0.118,0.279,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
561.5615,561.5733,33203.0,39880.0,Echolocation,Pipistrellus nathusii,0.092,0.216,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
578.5985,578.6117,23750.0,29328.0,Echolocation,Nyctalus leisleri,0.082,0.202,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
829.6645,829.6735,24609.0,31507.0,Echolocation,Eptesicus serotinus,0.091,0.229,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
854.6735,854.6857,25468.0,30260.0,Echolocation,Nyctalus leisleri,0.111,0.217,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1230.2295,1230.2482,22031.0,25869.0,Echolocation,Nyctalus leisleri,0.119,0.205,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1268.7305,1268.7411,27187.0,32574.0,Echolocation,Eptesicus serotinus,0.095,0.207,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1277.5575,1277.5613,23750.0,44490.0,Echolocation,Plecotus austriacus,0.14,0.248,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1467.1945,1467.2037,35781.0,41531.0,Echolocation,Pipistrellus nathusii,0.144,0.413,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1545.3325,1545.3548,18593.0,21792.0,Echolocation,Nyctalus noctula,0.197,0.264,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1661.3415,1661.3615,21171.0,24923.0,Echolocation,Nyctalus leisleri,0.124,0.205,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1662.5145,1662.531,22031.0,25962.0,Echolocation,Nyctalus leisleri,0.119,0.265,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1673.0485,1673.0678,22031.0,25720.0,Echolocation,Nyctalus leisleri,0.148,0.218,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1689.4565,1689.4782,21171.0,24886.0,Echolocation,Nyctalus noctula,0.118,0.241,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1695.5065,1695.5221,22031.0,25899.0,Echolocation,Nyctalus leisleri,0.103,0.229,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1704.5475,1704.5615,32343.0,36162.0,Echolocation,Pipistrellus nathusii,0.096,0.216,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1716.7525,1716.7614,35781.0,41623.0,Echolocation,Barbastellus barbastellus,0.118,0.249,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1719.6105,1719.624,24609.0,29602.0,Echolocation,Nyctalus leisleri,0.089,0.22,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1761.7485,1761.7566,38359.0,44776.0,Echolocation,Pipistrellus nathusii,0.214,0.282,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
1775.5565,1775.566,27187.0,35031.0,Echolocation,Eptesicus serotinus,0.175,0.233,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_001/20220724_023000.WAV,Carp Pond,recover-20220725,001,1795
