start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name
0.0845,0.0986,23750.0,28108.0,Nyctalus leisleri,0.464,0.533,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
301.6955,301.7142,23750.0,27703.0,Nyctalus leisleri,0.47,0.53,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
302.5235,302.5395,23750.0,26423.0,Nyctalus leisleri,0.664,0.678,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
302.8795,302.9017,23750.0,27281.0,Nyctalus leisleri,0.473,0.511,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
303.1275,303.1442,23750.0,27099.0,Nyctalus leisleri,0.645,0.691,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
303.8625,303.8799,23750.0,26380.0,Nyctalus leisleri,0.499,0.518,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
304.6015,304.6196,23750.0,27359.0,Nyctalus leisleri,0.501,0.556,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
305.3335,305.3533,23750.0,26618.0,Nyctalus leisleri,0.5,0.527,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
306.0635,306.0847,22890.0,26302.0,Nyctalus leisleri,0.553,0.585,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
308.0455,308.0645,23750.0,27036.0,Nyctalus leisleri,0.513,0.558,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
308.7865,308.8036,23750.0,26493.0,Nyctalus leisleri,0.506,0.546,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
309.6555,309.674,22890.0,26433.0,Nyctalus leisleri,0.638,0.666,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
565.8435,565.859,23750.0,27957.0,Nyctalus leisleri,0.606,0.647,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
567.3985,567.4181,24609.0,26756.0,Nyctalus leisleri,0.442,0.519,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
568.1105,568.1294,23750.0,27581.0,Nyctalus leisleri,0.552,0.594,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
568.9565,568.976,23750.0,26899.0,Nyctalus leisleri,0.564,0.611,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
570.0995,570.1159,23750.0,26659.0,Nyctalus leisleri,0.673,0.695,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
570.5285,570.5439,23750.0,26740.0,Nyctalus leisleri,0.71,0.73,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
570.7815,570.7963,23750.0,26938.0,Nyctalus leisleri,0.778,0.805,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
571.0575,571.0736,23750.0,25939.0,Nyctalus leisleri,0.753,0.772,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
571.4765,571.4924,23750.0,26054.0,Nyctalus leisleri,0.709,0.732,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
571.9045,571.9207,23750.0,26691.0,Nyctalus leisleri,0.786,0.808,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
572.3315,572.3454,23750.0,27459.0,Nyctalus leisleri,0.747,0.774,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
572.6255,572.6416,23750.0,26237.0,Nyctalus leisleri,0.779,0.807,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
573.0485,573.0677,23750.0,27243.0,Nyctalus leisleri,0.491,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
573.4875,573.5055,23750.0,26092.0,Nyctalus leisleri,0.635,0.667,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
573.9065,573.9231,23750.0,26120.0,Nyctalus leisleri,0.675,0.711,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
574.3365,574.3538,23750.0,25995.0,Nyctalus leisleri,0.792,0.814,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
574.7595,574.78,23750.0,26866.0,Nyctalus leisleri,0.459,0.504,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
575.1955,575.2121,23750.0,25704.0,Nyctalus leisleri,0.618,0.648,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
575.6145,575.6317,22890.0,26316.0,Nyctalus leisleri,0.644,0.697,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
575.7505,575.7683,23750.0,27195.0,Nyctalus leisleri,0.622,0.665,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
576.9695,576.9864,23750.0,27960.0,Nyctalus leisleri,0.58,0.657,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
577.2985,577.3177,23750.0,27801.0,Nyctalus leisleri,0.45,0.52,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
577.5895,577.6068,23750.0,27044.0,Nyctalus leisleri,0.509,0.611,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
578.7085,578.7295,22890.0,26954.0,Nyctalus leisleri,0.473,0.534,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
579.4165,579.4338,23750.0,28118.0,Nyctalus leisleri,0.508,0.598,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
579.6115,579.634,23750.0,26759.0,Nyctalus leisleri,0.506,0.544,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
579.7615,579.7763,24609.0,29340.0,Nyctalus leisleri,0.388,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
580.3265,580.3473,23750.0,27169.0,Nyctalus leisleri,0.484,0.521,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
581.1865,581.2066,22890.0,26723.0,Nyctalus leisleri,0.546,0.578,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
