start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name
393.4675,393.4865,20312.0,24309.0,Echolocation,Nyctalus leisleri,0.506,0.535,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
393.6575,393.675,23750.0,27612.0,Echolocation,Nyctalus leisleri,0.457,0.528,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
394.1765,394.1927,23750.0,28998.0,Echolocation,Nyctalus leisleri,0.31,0.502,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
394.3935,394.4048,27187.0,32606.0,Echolocation,Nyctalus leisleri,0.286,0.548,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
397.5045,397.5163,22890.0,31953.0,Echolocation,Nyctalus leisleri,0.267,0.606,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
398.2235,398.2358,20312.0,27212.0,Echolocation,Nyctalus noctula,0.294,0.549,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
398.3145,398.3241,25468.0,32698.0,Echolocation,Eptesicus serotinus,0.334,0.521,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
399.1965,399.2058,22031.0,33452.0,Echolocation,Nyctalus noctula,0.383,0.652,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
399.2605,399.264,22890.0,39664.0,Echolocation,Plecotus auritus,0.433,0.57,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
403.3235,403.3318,30625.0,38147.0,Echolocation,Nyctalus leisleri,0.486,0.669,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
403.4295,403.4393,28906.0,35482.0,Echolocation,Nyctalus leisleri,0.382,0.555,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
403.54449999999997,403.5525,28906.0,38192.0,Echolocation,Eptesicus serotinus,0.349,0.562,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
403.6545,403.6632,28046.0,34603.0,Echolocation,Nyctalus leisleri,0.461,0.651,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
403.7905,403.798,27187.0,36408.0,Echolocation,Nyctalus leisleri,0.437,0.681,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
404.0055,404.0131,26328.0,33406.0,Echolocation,Nyctalus leisleri,0.418,0.584,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
404.1205,404.1291,27187.0,33759.0,Echolocation,Eptesicus serotinus,0.258,0.548,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
708.1525,708.159,39218.0,60105.0,Echolocation,Pipistrellus nathusii,0.369,0.526,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
708.2505,708.2587,40078.0,58190.0,Echolocation,Pipistrellus nathusii,0.468,0.591,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
708.7365,708.7434,40078.0,56565.0,Echolocation,Pipistrellus nathusii,0.553,0.613,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
708.8545,708.8615,40078.0,65966.0,Echolocation,Pipistrellus nathusii,0.58,0.625,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.1615,709.1675,40078.0,53894.0,Echolocation,Pipistrellus nathusii,0.368,0.532,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.2705,709.2762,39218.0,58205.0,Echolocation,Pipistrellus nathusii,0.452,0.561,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.3755,709.3817,40078.0,53836.0,Echolocation,Pipistrellus nathusii,0.394,0.519,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.4865,709.4933,39218.0,61061.0,Echolocation,Pipistrellus nathusii,0.362,0.581,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.6025,709.6089,40078.0,52799.0,Echolocation,Pipistrellus nathusii,0.36,0.508,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
709.7115,709.7172,40078.0,57966.0,Echolocation,Pipistrellus nathusii,0.236,0.509,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
710.2345,710.2418,44375.0,56337.0,Echolocation,Pipistrellus pipistrellus,0.296,0.51,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
710.5685,710.5739,37500.0,55725.0,Echolocation,Myotis daubentonii,0.257,0.534,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
711.2195,711.2265,42656.0,55519.0,Echolocation,Pipistrellus pipistrellus,0.2,0.501,-1,/mnt/ubna_data_01/recover-20220822/UBNA_012/20220821_093000.WAV,Carp Pond
