start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
7.8495,7.8542,13437.0,29735.0,Plecotus auritus,0.168,0.221,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
34.5575,34.5627,13437.0,31642.0,Plecotus auritus,0.261,0.304,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
84.7895,84.797,13437.0,22884.0,Plecotus auritus,0.143,0.214,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
168.2755,168.2801,13437.0,31984.0,Plecotus auritus,0.166,0.203,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
261.6295,261.6346,13437.0,34589.0,Plecotus auritus,0.19,0.241,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
280.0625,280.0672,13437.0,33120.0,Plecotus auritus,0.178,0.206,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
323.8455,323.8602,22890.0,27346.0,Nyctalus noctula,0.107,0.25,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
356.0085,356.0137,13437.0,25566.0,Plecotus auritus,0.185,0.214,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
373.9515,373.972,21171.0,24507.0,Nyctalus noctula,0.109,0.203,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
440.0615,440.0673,13437.0,30897.0,Plecotus auritus,0.181,0.217,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
535.2935,535.2992,13437.0,29626.0,Plecotus auritus,0.2,0.22,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
698.3655,698.3705,13437.0,33311.0,Plecotus auritus,0.187,0.21,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
734.4615,734.467,13437.0,28488.0,Plecotus auritus,0.188,0.205,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220908/UBNA_004/20220906_140000.WAV,Carp Pond,recover-20220908,004,1795
