start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
3.9385,3.9512,22890.0,29355.0,Eptesicus serotinus,0.179,0.529,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
4.8795,4.8936,23750.0,29654.0,Nyctalus leisleri,0.298,0.548,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
5.1435,5.1573,23750.0,30311.0,Nyctalus leisleri,0.269,0.543,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
5.4185,5.4313,23750.0,29906.0,Eptesicus serotinus,0.234,0.538,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
5.8175,5.8297,22890.0,29616.0,Eptesicus serotinus,0.19,0.526,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
6.0895,6.1034,23750.0,29244.0,Nyctalus leisleri,0.293,0.51,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
6.3625,6.3748,24609.0,33814.0,Eptesicus serotinus,0.32,0.591,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
6.6385,6.6534,23750.0,29673.0,Nyctalus leisleri,0.23,0.543,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
6.9105,6.9244,22890.0,30727.0,Eptesicus serotinus,0.255,0.565,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
7.1785,7.1939,23750.0,30324.0,Eptesicus serotinus,0.213,0.508,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
7.4585,7.4712,23750.0,32525.0,Eptesicus serotinus,0.301,0.636,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
7.9015,7.916,23750.0,31971.0,Eptesicus serotinus,0.293,0.632,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
8.0495,8.0601,24609.0,33336.0,Eptesicus serotinus,0.325,0.575,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
8.2975,8.309,23750.0,31731.0,Eptesicus serotinus,0.259,0.548,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
8.5625,8.5762,22890.0,31900.0,Eptesicus serotinus,0.355,0.649,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
8.8385,8.8556,22890.0,31987.0,Eptesicus serotinus,0.297,0.617,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
8.9855,8.9992,22890.0,33088.0,Eptesicus serotinus,0.319,0.595,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
9.0615,9.0707,23750.0,33001.0,Eptesicus serotinus,0.327,0.587,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
10.9115,10.9241,22890.0,29565.0,Nyctalus leisleri,0.217,0.515,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
13.7295,13.7437,22890.0,30278.0,Eptesicus serotinus,0.205,0.574,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
13.9595,13.975,23750.0,29548.0,Nyctalus leisleri,0.323,0.523,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
14.3235,14.3356,22890.0,29368.0,Nyctalus leisleri,0.206,0.548,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
15.2565,15.2762,22890.0,32113.0,Eptesicus serotinus,0.303,0.548,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
15.5185,15.5317,24609.0,32947.0,Eptesicus serotinus,0.275,0.572,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
15.7855,15.8031,22890.0,32061.0,Eptesicus serotinus,0.293,0.598,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
16.0705,16.0855,23750.0,31259.0,Eptesicus serotinus,0.231,0.573,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
16.4525,16.4687,22890.0,31100.0,Eptesicus serotinus,0.288,0.573,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
16.7295,16.7465,22890.0,32105.0,Eptesicus serotinus,0.306,0.559,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
17.2775,17.2923,22890.0,30918.0,Eptesicus serotinus,0.269,0.602,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
17.8395,17.8553,22890.0,28373.0,Nyctalus leisleri,0.334,0.594,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
18.3245,18.3386,23750.0,30786.0,Eptesicus serotinus,0.217,0.523,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
18.5845,18.5998,22890.0,27214.0,Nyctalus leisleri,0.489,0.59,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
18.8465,18.8609,22890.0,28273.0,Nyctalus leisleri,0.254,0.569,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
19.6855,19.6989,22890.0,28619.0,Nyctalus leisleri,0.325,0.525,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
38.8975,38.911,24609.0,31818.0,Eptesicus serotinus,0.254,0.515,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
39.3635,39.3762,23750.0,31852.0,Eptesicus serotinus,0.313,0.555,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
40.1905,40.2023,24609.0,33233.0,Eptesicus serotinus,0.297,0.616,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
40.3595,40.372299999999996,23750.0,29911.0,Nyctalus leisleri,0.221,0.524,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
40.6405,40.6556,22890.0,31514.0,Eptesicus serotinus,0.305,0.556,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
41.2195,41.2308,24609.0,32223.0,Nyctalus leisleri,0.274,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
46.2275,46.239999999999995,23750.0,29977.0,Eptesicus serotinus,0.243,0.548,-1,Echolocation,/mnt/ubna_data_02/recover-20220919/UBNA_010/20220919_033000.WAV,Carp Pond,recover-20220919,010
