start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
254.2555,254.262,46093.0,59203.0,Echolocation,Pipistrellus pipistrellus,0.574,0.612,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
254.3415,254.3483,46093.0,59427.0,Echolocation,Pipistrellus pipistrellus,0.565,0.586,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
254.5265,254.5333,43515.0,62042.0,Echolocation,Pipistrellus pipistrellus,0.414,0.561,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
254.6175,254.6262,44375.0,60037.0,Echolocation,Pipistrellus pipistrellus,0.497,0.557,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
254.8955,254.904,44375.0,65917.0,Echolocation,Pipistrellus pipistrellus,0.461,0.553,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
254.9915,254.9976,44375.0,65444.0,Echolocation,Pipistrellus pipistrellus,0.587,0.646,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.0885,255.0953,45234.0,66539.0,Echolocation,Pipistrellus pipistrellus,0.595,0.642,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.1895,255.1974,45234.0,61549.0,Echolocation,Pipistrellus pipistrellus,0.429,0.573,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.2835,255.2919,44375.0,66559.0,Echolocation,Pipistrellus pipistrellus,0.489,0.608,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.3705,255.3791,45234.0,62902.0,Echolocation,Pipistrellus pipistrellus,0.537,0.596,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.4615,255.4682,44375.0,64963.0,Echolocation,Pipistrellus pipistrellus,0.491,0.562,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.5505,255.5567,43515.0,65537.0,Echolocation,Pipistrellus pipistrellus,0.524,0.618,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.6435,255.6494,44375.0,65347.0,Echolocation,Pipistrellus pipistrellus,0.601,0.634,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.7375,255.7435,43515.0,68114.0,Echolocation,Pipistrellus pipistrellus,0.497,0.543,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.83350000000002,255.8401,45234.0,59402.0,Echolocation,Pipistrellus pipistrellus,0.576,0.623,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.9125,255.9188,44375.0,69285.0,Echolocation,Pipistrellus pipistrellus,0.455,0.527,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
255.9865,255.994,44375.0,69057.0,Echolocation,Pipistrellus pipistrellus,0.462,0.508,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.1675,256.1726,44375.0,59543.0,Echolocation,Pipistrellus pipistrellus,0.541,0.603,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.2645,256.2704,44375.0,70598.0,Echolocation,Pipistrellus pipistrellus,0.46,0.572,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.3635,256.3703,45234.0,62243.0,Echolocation,Pipistrellus pipistrellus,0.495,0.557,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.4425,256.4489,45234.0,69178.0,Echolocation,Pipistrellus pipistrellus,0.429,0.543,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.5525,256.5576,43515.0,65162.0,Echolocation,Pipistrellus pipistrellus,0.525,0.564,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.6435,256.6505,42656.0,72689.0,Echolocation,Pipistrellus pipistrellus,0.214,0.508,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
256.8355,256.8418,43515.0,70854.0,Echolocation,Pipistrellus pipistrellus,0.444,0.553,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
257.0215,257.0305,43515.0,65044.0,Echolocation,Pipistrellus pipistrellus,0.333,0.528,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
257.1125,257.118,44375.0,64332.0,Echolocation,Pipistrellus pipistrellus,0.446,0.538,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
257.2065,257.2139,45234.0,66344.0,Echolocation,Pipistrellus pipistrellus,0.508,0.666,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
257.4025,257.4088,44375.0,66154.0,Echolocation,Pipistrellus pipistrellus,0.451,0.606,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
257.5925,257.5981,44375.0,66260.0,Echolocation,Pipistrellus pipistrellus,0.416,0.521,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
