start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
253.8905,253.9008,25468.0,32647.0,Echolocation,Eptesicus serotinus,0.311,0.528,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
254.2635,254.2744,25468.0,33580.0,Echolocation,Eptesicus serotinus,0.296,0.625,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
254.3915,254.4045,24609.0,34054.0,Echolocation,Eptesicus serotinus,0.353,0.62,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
254.5725,254.5859,23750.0,29841.0,Echolocation,Nyctalus leisleri,0.304,0.6,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
254.6845,254.6969,24609.0,33110.0,Echolocation,Eptesicus serotinus,0.337,0.577,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
254.9985,255.012,23750.0,30428.0,Echolocation,Nyctalus leisleri,0.414,0.645,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
256.0645,256.0764,23750.0,29661.0,Echolocation,Nyctalus leisleri,0.486,0.656,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
258.3275,258.33820000000003,23750.0,29955.0,Echolocation,Nyctalus leisleri,0.381,0.637,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
258.4595,258.4714,23750.0,30767.0,Echolocation,Nyctalus leisleri,0.35,0.623,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
258.5915,258.6018,23750.0,30237.0,Echolocation,Eptesicus serotinus,0.242,0.502,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
258.72950000000003,258.7414,24609.0,32069.0,Echolocation,Eptesicus serotinus,0.25,0.55,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
258.8705,258.8812,23750.0,30299.0,Echolocation,Nyctalus leisleri,0.253,0.557,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
259.0245,259.0358,23750.0,30111.0,Echolocation,Nyctalus leisleri,0.432,0.655,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
259.1645,259.177,23750.0,29064.0,Echolocation,Nyctalus leisleri,0.254,0.506,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
259.3095,259.3227,23750.0,29708.0,Echolocation,Nyctalus leisleri,0.303,0.557,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
