start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
20.9515,20.9649,23750.0,31447.0,Eptesicus serotinus,0.284,0.563,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
21.5725,21.5863,23750.0,29681.0,Nyctalus leisleri,0.242,0.512,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
22.6695,22.6852,22890.0,29236.0,Nyctalus leisleri,0.247,0.522,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
22.9155,22.936,22031.0,30400.0,Eptesicus serotinus,0.27,0.521,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
23.2805,23.2956,22031.0,29472.0,Eptesicus serotinus,0.247,0.608,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
23.7795,23.7937,22031.0,29711.0,Nyctalus noctula,0.351,0.615,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
105.6345,105.6414,43515.0,56222.0,Pipistrellus pipistrellus,0.412,0.577,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
105.7155,105.7209,44375.0,52160.0,Pipistrellus pipistrellus,0.547,0.576,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.3905,106.3966,44375.0,60298.0,Pipistrellus pipistrellus,0.59,0.674,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.4785,106.48519999999999,43515.0,51362.0,Pipistrellus pipistrellus,0.508,0.553,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.5695,106.5755,42656.0,60786.0,Pipistrellus pipistrellus,0.595,0.662,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.6605,106.6663,43515.0,57447.0,Pipistrellus pipistrellus,0.58,0.639,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.7535,106.7595,43515.0,60669.0,Pipistrellus pipistrellus,0.571,0.687,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.8475,106.8538,42656.0,60990.0,Pipistrellus pipistrellus,0.51,0.587,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
106.9415,106.9483,43515.0,61259.0,Pipistrellus pipistrellus,0.562,0.634,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
107.0365,107.0421,43515.0,60705.0,Pipistrellus pipistrellus,0.6,0.654,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_004/20220922_040000.WAV,Carp Pond,recover-20220922,004
