start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
626.0105,626.0165,47812.0,59158.0,Echolocation,Pipistrellus pipistrellus,0.662,0.667,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
626.4715,626.477,48671.0,62011.0,Echolocation,Pipistrellus pipistrellus,0.481,0.503,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
626.5315,626.537,47812.0,63799.0,Echolocation,Pipistrellus pipistrellus,0.591,0.631,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
626.6165,626.6211,47812.0,61777.0,Echolocation,Pipistrellus pipistrellus,0.63,0.649,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
626.7885,626.7938,47812.0,61317.0,Echolocation,Pipistrellus pipistrellus,0.624,0.677,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
626.8725,626.8776,47812.0,61265.0,Echolocation,Pipistrellus pipistrellus,0.505,0.533,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.1025,627.1074,46953.0,63538.0,Echolocation,Pipistrellus pipistrellus,0.529,0.579,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.1865,627.1916,46953.0,62249.0,Echolocation,Pipistrellus pipistrellus,0.615,0.64,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.2755,627.2809,46093.0,68797.0,Echolocation,Pipistrellus pipistrellus,0.495,0.533,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.3655,627.3717,45234.0,65247.0,Echolocation,Pipistrellus pipistrellus,0.537,0.608,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.4545,627.4613,45234.0,68592.0,Echolocation,Pipistrellus pipistrellus,0.521,0.572,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.5485,627.5545,45234.0,66406.0,Echolocation,Pipistrellus pipistrellus,0.57,0.626,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
627.6425,627.6477,44375.0,68031.0,Echolocation,Pipistrellus pipistrellus,0.586,0.617,-1,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_133000.WAV,Carp Pond,recover-20221017,010,1795
