start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
103.0265,103.038,26328.0,31760.0,Echolocation,Nyctalus leisleri,0.403,0.656,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
103.3425,103.3548,26328.0,32521.0,Echolocation,Nyctalus leisleri,0.438,0.646,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
103.5185,103.5298,26328.0,32607.0,Echolocation,Nyctalus leisleri,0.423,0.662,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
103.8025,103.8154,26328.0,31665.0,Echolocation,Nyctalus leisleri,0.378,0.629,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
104.1005,104.11410000000001,26328.0,31899.0,Echolocation,Nyctalus leisleri,0.28,0.55,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
105.0375,105.0525,25468.0,31575.0,Echolocation,Nyctalus leisleri,0.263,0.591,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
105.3755,105.3894,25468.0,29601.0,Echolocation,Nyctalus leisleri,0.362,0.505,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
106.0805,106.0961,25468.0,30555.0,Echolocation,Nyctalus leisleri,0.376,0.533,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
106.3355,106.3512,25468.0,30810.0,Echolocation,Nyctalus leisleri,0.377,0.621,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
106.6115,106.6262,25468.0,32646.0,Echolocation,Nyctalus leisleri,0.278,0.628,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
107.1125,107.1281,25468.0,31829.0,Echolocation,Nyctalus leisleri,0.238,0.542,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
107.4645,107.4812,25468.0,30852.0,Echolocation,Nyctalus leisleri,0.33,0.539,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
107.8215,107.8338,25468.0,30403.0,Echolocation,Nyctalus leisleri,0.385,0.57,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
108.1035,108.11840000000001,25468.0,32276.0,Echolocation,Nyctalus leisleri,0.305,0.558,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
108.3885,108.4031,25468.0,29522.0,Echolocation,Nyctalus leisleri,0.388,0.555,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
108.6525,108.6673,25468.0,31482.0,Echolocation,Nyctalus leisleri,0.253,0.604,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
108.9855,108.9995,24609.0,29027.0,Echolocation,Nyctalus leisleri,0.438,0.632,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
109.2115,109.2256,25468.0,31431.0,Echolocation,Nyctalus leisleri,0.393,0.615,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
109.4735,109.487,25468.0,29881.0,Echolocation,Nyctalus leisleri,0.419,0.59,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
109.7945,109.8073,25468.0,32011.0,Echolocation,Nyctalus leisleri,0.333,0.576,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
110.3205,110.3325,25468.0,30439.0,Echolocation,Nyctalus leisleri,0.565,0.692,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
110.9025,110.9157,25468.0,29482.0,Echolocation,Nyctalus leisleri,0.526,0.646,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
346.0245,346.0425,22890.0,25303.0,Echolocation,Nyctalus leisleri,0.551,0.584,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
346.2855,346.3031,22031.0,25972.0,Echolocation,Nyctalus leisleri,0.631,0.674,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
346.6075,346.6211,23750.0,29899.0,Echolocation,Nyctalus leisleri,0.317,0.514,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
347.8595,347.8753,22890.0,26867.0,Echolocation,Nyctalus leisleri,0.51,0.607,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
348.2695,348.2869,22890.0,25563.0,Echolocation,Nyctalus leisleri,0.7,0.729,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
348.5835,348.601,22890.0,26344.0,Echolocation,Nyctalus leisleri,0.531,0.581,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
349.9875,350.0033,22890.0,26969.0,Echolocation,Nyctalus leisleri,0.425,0.554,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
350.7855,350.8031,22890.0,26546.0,Echolocation,Nyctalus leisleri,0.577,0.638,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
351.6565,351.6725,22890.0,26237.0,Echolocation,Nyctalus leisleri,0.485,0.552,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
357.9065,357.9233,22890.0,27219.0,Echolocation,Nyctalus leisleri,0.535,0.62,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
358.1815,358.1991,22890.0,26354.0,Echolocation,Nyctalus leisleri,0.61,0.66,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
429.5525,429.5683,23750.0,28212.0,Echolocation,Nyctalus leisleri,0.442,0.563,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
430.8335,430.8509,22890.0,28323.0,Echolocation,Nyctalus leisleri,0.289,0.517,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
431.5785,431.5931,23750.0,29534.0,Echolocation,Nyctalus leisleri,0.492,0.652,-1,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220810_070000.WAV,recover-20220811,UBNA_010,Central Pond
