start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
0.1795,0.1948,23750.0,28023.0,Nyctalus leisleri,0.461,0.577,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
2.1305,2.1462,23750.0,29400.0,Nyctalus leisleri,0.261,0.515,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
3.3495,3.3635,23750.0,29930.0,Nyctalus leisleri,0.26,0.577,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
4.1435,4.1592,26328.0,33242.0,Eptesicus serotinus,0.3,0.579,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
8.1805,8.1958,25468.0,29902.0,Nyctalus leisleri,0.424,0.54,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
8.5925,8.607,26328.0,32442.0,Nyctalus leisleri,0.287,0.521,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
9.1645,9.1793,26328.0,31308.0,Nyctalus leisleri,0.375,0.523,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
10.0525,10.0681,25468.0,33137.0,Eptesicus serotinus,0.307,0.62,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
10.1985,10.2119,27187.0,35853.0,Eptesicus serotinus,0.325,0.584,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
10.7625,10.7774,26328.0,35055.0,Eptesicus serotinus,0.335,0.614,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
11.7945,11.809,26328.0,32100.0,Nyctalus leisleri,0.242,0.592,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
11.9495,11.964,26328.0,35477.0,Eptesicus serotinus,0.329,0.565,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
12.3875,12.4037,26328.0,31427.0,Nyctalus leisleri,0.267,0.536,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
15.6455,15.6572,27187.0,35633.0,Eptesicus serotinus,0.306,0.705,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
16.0865,16.1006,26328.0,33618.0,Eptesicus serotinus,0.271,0.569,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
16.5195,16.5338,26328.0,34143.0,Eptesicus serotinus,0.285,0.636,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
17.0675,17.0822,26328.0,33412.0,Eptesicus serotinus,0.27,0.589,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
17.4965,17.5121,25468.0,31353.0,Nyctalus leisleri,0.263,0.553,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
42.4895,42.5029,26328.0,31757.0,Nyctalus leisleri,0.473,0.633,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
51.966499999999996,51.9795,25468.0,33061.0,Nyctalus leisleri,0.284,0.621,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
56.5315,56.5476,25468.0,28911.0,Nyctalus leisleri,0.39,0.514,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
61.6975,61.71,27187.0,33943.0,Eptesicus serotinus,0.234,0.52,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
63.0615,63.0777,25468.0,30266.0,Nyctalus leisleri,0.391,0.567,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
73.3075,73.3235,24609.0,33494.0,Eptesicus serotinus,0.303,0.559,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
73.9055,73.9223,24609.0,32645.0,Eptesicus serotinus,0.224,0.507,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
74.2025,74.21770000000001,24609.0,33878.0,Eptesicus serotinus,0.314,0.58,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
74.6765,74.6928,24609.0,30496.0,Nyctalus leisleri,0.325,0.578,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
74.8225,74.8375,25468.0,33842.0,Eptesicus serotinus,0.29,0.604,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
75.1265,75.1428,24609.0,29999.0,Nyctalus leisleri,0.316,0.508,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
75.5535,75.5669,25468.0,34227.0,Eptesicus serotinus,0.329,0.636,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
75.8475,75.8637,24609.0,31742.0,Eptesicus serotinus,0.259,0.564,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
76.1465,76.1653,23750.0,33123.0,Eptesicus serotinus,0.285,0.549,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
76.7345,76.7499,24609.0,32202.0,Nyctalus leisleri,0.311,0.603,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
77.9045,77.9213,24609.0,31652.0,Nyctalus leisleri,0.266,0.549,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
79.0795,79.09479999999999,25468.0,32724.0,Nyctalus leisleri,0.314,0.583,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
79.6105,79.6269,24609.0,33330.0,Eptesicus serotinus,0.284,0.563,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
80.1615,80.1756,24609.0,31041.0,Nyctalus leisleri,0.287,0.587,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
80.4325,80.4486,24609.0,30787.0,Nyctalus leisleri,0.235,0.537,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
85.3745,85.386,27187.0,32645.0,Nyctalus leisleri,0.303,0.517,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
86.9845,86.9971,23750.0,29284.0,Nyctalus leisleri,0.302,0.542,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
87.0375,87.0502,24609.0,30291.0,Nyctalus leisleri,0.275,0.585,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
87.3565,87.3707,26328.0,31152.0,Nyctalus leisleri,0.273,0.599,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
87.8005,87.8172,25468.0,29731.0,Nyctalus leisleri,0.348,0.535,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
88.04050000000001,88.0572,22890.0,26277.0,Nyctalus leisleri,0.461,0.534,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
88.6755,88.6902,25468.0,31154.0,Nyctalus leisleri,0.263,0.57,-1,Echolocation,/mnt/ubna_data_01/recover-20220811/UBNA_010/20220811_053000.WAV,recover-20220811,UBNA_010,Central Pond
