start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
77.6555,77.6757,20312.0,24220.0,Echolocation,Nyctalus noctula,0.126,0.225,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
396.9605,396.9711,26328.0,32179.0,Echolocation,Eptesicus serotinus,0.157,0.271,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
485.7785,485.795,11718.0,15473.0,Echolocation,Nyctalus leisleri,0.209,0.261,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
488.4395,488.4475,20312.0,29083.0,Echolocation,Plecotus austriacus,0.089,0.235,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
499.4885,499.5021,22890.0,26477.0,Echolocation,Nyctalus leisleri,0.099,0.223,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
822.9165,822.9284,28906.0,33501.0,Echolocation,Eptesicus serotinus,0.155,0.32,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1018.5365,1018.5495,24609.0,30246.0,Echolocation,Eptesicus serotinus,0.076,0.202,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1299.0795,1299.0932,34921.0,38370.0,Echolocation,Pipistrellus nathusii,0.121,0.201,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1469.7925,1469.8006,18593.0,27216.0,Echolocation,Plecotus austriacus,0.061,0.223,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1519.1315,1519.1378,16015.0,28814.0,Echolocation,Plecotus auritus,0.151,0.212,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1542.1385,1542.1482,27187.0,33449.0,Echolocation,Eptesicus serotinus,0.133,0.208,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1634.7645,1634.776,37500.0,41139.0,Echolocation,Pipistrellus nathusii,0.194,0.221,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
1726.8975,1726.9153,33203.0,35730.0,Echolocation,Pipistrellus nathusii,0.174,0.259,-1,/mnt/ubna_data_02_mir/recover-20220926/UBNA_009/20220925_010000.WAV,Central Pond,recover-20220926,009,1795
