start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
20.3975,20.4046,50390.0,63156.0,Pipistrellus pipistrellus,0.447,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
20.4935,20.4973,52109.0,63801.0,Pipistrellus pipistrellus,0.38,0.508,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
20.5895,20.5939,50390.0,63990.0,Pipistrellus pipistrellus,0.474,0.566,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
340.0395,340.0504,40078.0,48855.0,Pipistrellus nathusii,0.562,0.59,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
340.3395,340.3504,39218.0,48045.0,Pipistrellus nathusii,0.498,0.526,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
340.9355,340.9458,40078.0,47873.0,Pipistrellus nathusii,0.548,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
341.2395,341.2495,38359.0,47853.0,Pipistrellus nathusii,0.616,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
341.5545,341.5644,39218.0,46878.0,Pipistrellus nathusii,0.586,0.636,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
341.8655,341.8762,40078.0,48420.0,Pipistrellus nathusii,0.53,0.611,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
342.2525,342.262,39218.0,49584.0,Pipistrellus nathusii,0.566,0.612,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
410.4705,410.479,42656.0,53732.0,Pipistrellus pipistrellus,0.335,0.505,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
410.7305,410.7387,42656.0,51853.0,Pipistrellus pipistrellus,0.232,0.552,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
410.9225,410.9288,42656.0,58017.0,Pipistrellus pipistrellus,0.572,0.621,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.0295,411.035,45234.0,53239.0,Pipistrellus pipistrellus,0.531,0.55,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.1295,411.1361,44375.0,51534.0,Pipistrellus pipistrellus,0.496,0.541,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.2285,411.2369,43515.0,55067.0,Pipistrellus pipistrellus,0.506,0.587,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.3155,411.3223,44375.0,60433.0,Pipistrellus pipistrellus,0.468,0.544,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.4175,411.4257,44375.0,56409.0,Pipistrellus pipistrellus,0.505,0.552,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.5095,411.5208,43515.0,61733.0,Pipistrellus pipistrellus,0.41,0.588,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.6095,411.6176,43515.0,62588.0,Pipistrellus pipistrellus,0.593,0.668,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.7085,411.7161,45234.0,58001.0,Pipistrellus pipistrellus,0.5,0.646,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.8015,411.8094,43515.0,63237.0,Pipistrellus pipistrellus,0.488,0.556,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
411.8995,411.907,43515.0,62665.0,Pipistrellus pipistrellus,0.561,0.616,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.1015,412.1073,43515.0,62414.0,Pipistrellus pipistrellus,0.624,0.676,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.2025,412.2093,43515.0,55005.0,Pipistrellus pipistrellus,0.485,0.519,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.2965,412.3029,44375.0,64045.0,Pipistrellus pipistrellus,0.583,0.651,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.3925,412.4003,44375.0,54377.0,Pipistrellus pipistrellus,0.51,0.581,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.4835,412.4906,45234.0,62092.0,Pipistrellus pipistrellus,0.602,0.673,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.6005,412.6077,46093.0,60028.0,Pipistrellus pipistrellus,0.576,0.609,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
412.6985,412.7048,43515.0,66760.0,Pipistrellus pipistrellus,0.442,0.506,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.0155,413.0246,44375.0,53683.0,Pipistrellus pipistrellus,0.502,0.555,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.2225,413.2278,44375.0,61688.0,Pipistrellus pipistrellus,0.657,0.681,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.3125,413.3182,42656.0,68020.0,Pipistrellus pipistrellus,0.566,0.594,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.4155,413.4215,44375.0,57448.0,Pipistrellus pipistrellus,0.634,0.673,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.5125,413.5196,42656.0,62770.0,Pipistrellus pipistrellus,0.567,0.615,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.6135,413.6206,42656.0,55037.0,Pipistrellus pipistrellus,0.519,0.609,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.7165,413.7233,43515.0,57706.0,Pipistrellus pipistrellus,0.612,0.638,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.8155,413.8241,43515.0,65207.0,Pipistrellus pipistrellus,0.585,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
413.9155,413.9276,43515.0,54901.0,Pipistrellus pipistrellus,0.458,0.551,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
414.0185,414.0258,42656.0,57763.0,Pipistrellus pipistrellus,0.523,0.589,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
414.1245,414.1306,43515.0,54016.0,Pipistrellus pipistrellus,0.614,0.65,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
414.2275,414.234,41796.0,63387.0,Pipistrellus pipistrellus,0.552,0.593,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
414.3375,414.3457,43515.0,57240.0,Pipistrellus pipistrellus,0.615,0.706,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
414.4455,414.4516,44375.0,52950.0,Pipistrellus pipistrellus,0.628,0.645,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20220930_050000.WAV,Central Pond,recover-20221003,009
