start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
62.5855,62.5987,25468.0,30285.0,Echolocation,Nyctalus leisleri,0.439,0.583,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
64.3035,64.3145,26328.0,32662.0,Echolocation,Nyctalus leisleri,0.301,0.577,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
64.5775,64.5896,24609.0,30236.0,Echolocation,Nyctalus leisleri,0.318,0.567,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
64.7885,64.8022,25468.0,31748.0,Echolocation,Nyctalus leisleri,0.255,0.584,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
65.48949999999999,65.5009,24609.0,30682.0,Echolocation,Nyctalus leisleri,0.286,0.566,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
66.5235,66.5364,24609.0,30184.0,Echolocation,Nyctalus leisleri,0.315,0.548,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
67.6245,67.6373,25468.0,29841.0,Echolocation,Nyctalus leisleri,0.448,0.629,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
375.4115,375.423,26328.0,32409.0,Echolocation,Nyctalus leisleri,0.273,0.504,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
375.5425,375.5531,25468.0,32510.0,Echolocation,Nyctalus leisleri,0.255,0.565,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
375.7925,375.8059,25468.0,36307.0,Echolocation,Eptesicus serotinus,0.404,0.616,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
375.9445,375.9564,24609.0,34233.0,Echolocation,Eptesicus serotinus,0.349,0.672,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.0795,376.0912,25468.0,36331.0,Echolocation,Eptesicus serotinus,0.426,0.615,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.3425,376.3539,25468.0,36877.0,Echolocation,Eptesicus serotinus,0.48,0.674,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.4825,376.4951,25468.0,36515.0,Echolocation,Eptesicus serotinus,0.45,0.585,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.6195,376.6298,25468.0,36531.0,Echolocation,Eptesicus serotinus,0.501,0.63,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.7615,376.7713,26328.0,39018.0,Echolocation,Eptesicus serotinus,0.56,0.688,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
376.8945,376.9046,26328.0,37849.0,Echolocation,Eptesicus serotinus,0.507,0.647,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.0385,377.0475,26328.0,33636.0,Echolocation,Nyctalus leisleri,0.432,0.651,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.1735,377.183,26328.0,33307.0,Echolocation,Eptesicus serotinus,0.282,0.515,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.3375,377.3479,25468.0,34230.0,Echolocation,Nyctalus leisleri,0.338,0.685,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.4645,377.4756,26328.0,33758.0,Echolocation,Eptesicus serotinus,0.304,0.516,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.6065,377.6176,25468.0,31878.0,Echolocation,Nyctalus leisleri,0.486,0.674,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.7475,377.7582,25468.0,38929.0,Echolocation,Eptesicus serotinus,0.608,0.719,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
377.9465,377.9605,25468.0,37781.0,Echolocation,Eptesicus serotinus,0.464,0.635,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
378.1265,378.1387,25468.0,37507.0,Echolocation,Eptesicus serotinus,0.423,0.633,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
378.27049999999997,378.284,25468.0,39323.0,Echolocation,Eptesicus serotinus,0.478,0.641,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
378.4035,378.418,25468.0,37950.0,Echolocation,Eptesicus serotinus,0.443,0.598,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221017_020000.WAV,Central Pond,recover-20221017,009
