INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,0.512964,0.002538,24779.439,25216.809,25823.648,2022-09-01,03:30:00.512,3,2022-08-31,15:30:00.512,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,1.300742,0.003839,24250.441,25006.709,25806.451,2022-09-01,03:30:01.300,3,2022-08-31,15:30:01.300,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,1.433989,0.004473,25000.977,25933.656,27212.145,2022-09-01,03:30:01.433,3,2022-08-31,15:30:01.433,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,1.569196,0.001272,24621.211,25156.951,25642.078,2022-09-01,03:30:01.569,3,2022-08-31,15:30:01.569,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,1.847628,0.001511,26143.791,26472.488,27304.072,2022-09-01,03:30:01.847,3,2022-08-31,15:30:01.847,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,2.241039,0.002341,26601.855,27339.184,28470.111,2022-09-01,03:30:02.241,3,2022-08-31,15:30:02.241,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,2.482469,0.001743,24540.801,25245.018,26058.908,2022-09-01,03:30:02.482,3,2022-08-31,15:30:02.482,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,2.624076,0.00225,24316.334,24887.666,25397.082,2022-09-01,03:30:02.624,3,2022-08-31,15:30:02.624,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,2.761686,0.001284,24316.334,24923.799,25559.367,2022-09-01,03:30:02.761,3,2022-08-31,15:30:02.761,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,2.884521,0.001938,24465.061,24767.898,25317.469,2022-09-01,03:30:02.883,3,2022-08-31,15:30:02.883,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,3.004881,0.001596,24844.721,25061.168,25559.367,2022-09-01,03:30:03.004,3,2022-08-31,15:30:03.004,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,3.280289,0.002951,26243.332,27108.854,28470.111,2022-09-01,03:30:03.279,3,2022-08-31,15:30:03.279,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,3.471142,0.001233,25642.078,25954.088,26316.93,2022-09-01,03:30:03.471,3,2022-08-31,15:30:03.471,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,3.73098,0.001379,25571.895,26104.348,26578.367,2022-09-01,03:30:03.730,3,2022-08-31,15:30:03.730,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,3.917282,0.002294,23952.953,24412.621,25642.078,2022-09-01,03:30:03.916,3,2022-08-31,15:30:03.916,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
/mnt,ubna_data_02_mir/recover-20220901/UBNA_004,20220901_033000.WAV,0,4.072784,0.001555,25078.617,25722.596,26677.338,2022-09-01,03:30:04.072,3,2022-08-31,15:30:04.072,15,nocluster,0,,0,,0,1,,,,,,1UMnyCnD7LSXa4AQPDeoxw==
