start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
206.0475,206.0553,47812.0,63831.0,Echolocation,Pipistrellus pipistrellus,0.471,0.575,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.23250000000002,206.2433,45234.0,64073.0,Echolocation,Pipistrellus pipistrellus,0.381,0.532,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.52949999999998,206.5369,47812.0,64646.0,Echolocation,Pipistrellus pipistrellus,0.495,0.641,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.5935,206.602,44375.0,62189.0,Echolocation,Pipistrellus pipistrellus,0.375,0.566,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.6635,206.6706,47812.0,63088.0,Echolocation,Pipistrellus pipistrellus,0.484,0.54,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.8325,206.8423,45234.0,67359.0,Echolocation,Pipistrellus pipistrellus,0.473,0.607,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.8985,206.9073,44375.0,64798.0,Echolocation,Pipistrellus pipistrellus,0.452,0.52,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
206.9855,206.9947,43515.0,64088.0,Echolocation,Pipistrellus pipistrellus,0.348,0.543,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.0665,207.0741,44375.0,68932.0,Echolocation,Pipistrellus pipistrellus,0.531,0.589,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.1455,207.1523,46093.0,59408.0,Echolocation,Pipistrellus pipistrellus,0.536,0.62,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.2705,207.2771,44375.0,65931.0,Echolocation,Pipistrellus pipistrellus,0.501,0.534,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.4725,207.4806,45234.0,64209.0,Echolocation,Pipistrellus pipistrellus,0.541,0.662,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.54149999999998,207.5464,42656.0,58083.0,Echolocation,Pipistrellus pipistrellus,0.424,0.541,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.6505,207.6572,46093.0,60829.0,Echolocation,Pipistrellus pipistrellus,0.429,0.501,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
207.8015,207.8085,46093.0,60346.0,Echolocation,Pipistrellus pipistrellus,0.557,0.616,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
208.1385,208.1453,46953.0,59793.0,Echolocation,Pipistrellus pipistrellus,0.449,0.513,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
208.2375,208.244,46953.0,60597.0,Echolocation,Pipistrellus pipistrellus,0.449,0.574,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
208.5395,208.5465,46093.0,57640.0,Echolocation,Pipistrellus pipistrellus,0.567,0.615,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
208.6235,208.6299,47812.0,61759.0,Echolocation,Pipistrellus pipistrellus,0.468,0.517,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221101_020000.WAV,Central Pond,recover-20221110,009,300
