start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name
13.5065,13.5219,22890.0,27362.0,Nyctalus leisleri,0.49,0.569,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
82.2535,82.2715,22890.0,27298.0,Nyctalus leisleri,0.435,0.574,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
82.5125,82.5303,22890.0,27547.0,Nyctalus leisleri,0.374,0.58,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
83.03450000000001,83.04820000000001,22890.0,28922.0,Nyctalus leisleri,0.196,0.533,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
224.1695,224.1765,45234.0,71236.0,Pipistrellus pipistrellus,0.254,0.581,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.3735,226.3779,41796.0,74542.0,Myotis brandtii,0.229,0.541,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.4275,226.4328,40937.0,83026.0,Myotis brandtii,0.502,0.665,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.4835,226.4886,40937.0,83648.0,Myotis brandtii,0.301,0.566,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.7785,226.78300000000002,41796.0,76396.0,Myotis brandtii,0.294,0.527,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.83350000000002,226.83859999999999,42656.0,80061.0,Myotis brandtii,0.283,0.538,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
226.9595,226.9634,41796.0,68679.0,Myotis brandtii,0.231,0.558,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
227.0135,227.0178,40937.0,72068.0,Myotis brandtii,0.276,0.549,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
227.0785,227.0816,45234.0,64311.0,Myotis mystacinus,0.357,0.594,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
228.1955,228.2057,47812.0,59941.0,Pipistrellus pipistrellus,0.491,0.547,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
228.2735,228.2791,47812.0,62902.0,Pipistrellus pipistrellus,0.326,0.538,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
228.7235,228.7307,44375.0,57000.0,Pipistrellus pipistrellus,0.376,0.549,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
229.0015,229.0092,44375.0,57821.0,Pipistrellus pipistrellus,0.477,0.598,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
229.0775,229.0858,46093.0,58101.0,Pipistrellus pipistrellus,0.368,0.522,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
455.3115,455.3308,25468.0,31058.0,Nyctalus leisleri,0.336,0.51,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
456.7855,456.8037,26328.0,30254.0,Nyctalus leisleri,0.382,0.532,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
457.1825,457.196,25468.0,31107.0,Nyctalus leisleri,0.358,0.651,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
457.6705,457.6847,25468.0,30756.0,Nyctalus leisleri,0.511,0.701,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
458.1685,458.1827,25468.0,30562.0,Nyctalus leisleri,0.4,0.655,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
461.0185,461.0348,25468.0,28681.0,Nyctalus leisleri,0.557,0.642,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220625_063000.WAV,Foliage
