start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
147.0355,147.0489,26328.0,29752.0,Echolocation,Nyctalus leisleri,0.585,0.667,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
183.7595,183.7756,26328.0,30168.0,Echolocation,Nyctalus leisleri,0.393,0.537,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
269.9745,269.9882,27187.0,32828.0,Echolocation,Nyctalus leisleri,0.311,0.543,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
319.3035,319.3201,27187.0,32043.0,Echolocation,Nyctalus leisleri,0.331,0.565,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
323.8255,323.84069999999997,25468.0,28665.0,Echolocation,Nyctalus leisleri,0.473,0.617,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
324.0945,324.1087,24609.0,29107.0,Echolocation,Nyctalus leisleri,0.39,0.537,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
324.6105,324.6253,25468.0,30227.0,Echolocation,Nyctalus leisleri,0.326,0.523,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
325.0065,325.0183,25468.0,32858.0,Echolocation,Nyctalus leisleri,0.342,0.709,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
325.4205,325.4335,25468.0,30709.0,Echolocation,Nyctalus leisleri,0.408,0.622,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
325.8395,325.8559,25468.0,29942.0,Echolocation,Nyctalus leisleri,0.356,0.502,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
326.5115,326.5322,24609.0,29081.0,Echolocation,Nyctalus leisleri,0.378,0.508,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
338.4255,338.4398,27187.0,30683.0,Echolocation,Nyctalus leisleri,0.389,0.503,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
339.0275,339.0438,26328.0,30041.0,Echolocation,Nyctalus leisleri,0.395,0.5,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
339.7615,339.7756,26328.0,29704.0,Echolocation,Nyctalus leisleri,0.539,0.587,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
510.8765,510.889,27187.0,32764.0,Echolocation,Nyctalus leisleri,0.364,0.604,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
523.2765,523.2907,27187.0,30446.0,Echolocation,Nyctalus leisleri,0.489,0.598,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
523.9075,523.9208,27187.0,31405.0,Echolocation,Nyctalus leisleri,0.473,0.666,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
524.7635,524.7802,26328.0,29794.0,Echolocation,Nyctalus leisleri,0.424,0.523,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
525.5835,525.6009,26328.0,29386.0,Echolocation,Nyctalus leisleri,0.49,0.559,-1,/mnt/ubna_data_01/recover-20220627_unit2/20220626_070000.WAV,Foliage,recover-20220627_unit2,009
