start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
43.1725,43.1835,25468.0,31364.0,Echolocation,Eptesicus serotinus,0.119,0.24,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
77.0975,77.1121,22890.0,27640.0,Echolocation,Nyctalus leisleri,0.138,0.25,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
79.3055,79.3181,40937.0,43077.0,Echolocation,Pipistrellus nathusii,0.202,0.229,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
97.0125,97.0221,24609.0,31598.0,Echolocation,Eptesicus serotinus,0.143,0.264,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
106.3035,106.3147,46093.0,49698.0,Echolocation,Pipistrellus pipistrellus,0.22,0.249,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
132.1405,132.1549,26328.0,31411.0,Echolocation,Nyctalus leisleri,0.118,0.228,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
132.5955,132.6067,22890.0,28425.0,Echolocation,Nyctalus leisleri,0.084,0.208,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
138.9545,138.9604,44375.0,54057.0,Echolocation,Pipistrellus pipistrellus,0.372,0.412,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
139.1175,139.1252,45234.0,49810.0,Echolocation,Pipistrellus pipistrellus,0.337,0.382,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
139.9125,139.9205,40937.0,46290.0,Echolocation,Pipistrellus nathusii,0.336,0.469,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
139.9855,139.9927,44375.0,53368.0,Echolocation,Pipistrellus pipistrellus,0.148,0.216,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.1905,140.199,40078.0,46662.0,Echolocation,Pipistrellus nathusii,0.482,0.573,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.2465,140.2533,45234.0,50758.0,Echolocation,Pipistrellus pipistrellus,0.183,0.253,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.3865,140.3953,39218.0,46114.0,Echolocation,Pipistrellus nathusii,0.466,0.566,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.5675,140.5754,37500.0,44110.0,Echolocation,Pipistrellus nathusii,0.472,0.552,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.5855,140.5927,45234.0,53112.0,Echolocation,Pipistrellus pipistrellus,0.39,0.476,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.6595,140.6681,37500.0,42768.0,Echolocation,Barbastellus barbastellus,0.151,0.298,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.76749999999998,140.7739,46093.0,54206.0,Echolocation,Pipistrellus pipistrellus,0.282,0.386,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.8395,140.848,38359.0,47899.0,Echolocation,Pipistrellus nathusii,0.543,0.615,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
140.9345,140.9443,38359.0,43928.0,Echolocation,Pipistrellus nathusii,0.168,0.309,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
141.1175,141.1255,38359.0,45131.0,Echolocation,Pipistrellus nathusii,0.495,0.581,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
141.1885,141.2018,21171.0,28271.0,Echolocation,Nyctalus noctula,0.112,0.22,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
141.5935,141.606,40078.0,44475.0,Echolocation,Pipistrellus nathusii,0.308,0.321,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
141.6915,141.7006,40078.0,46867.0,Echolocation,Pipistrellus nathusii,0.474,0.55,-1,/mnt/ubna_data_01_mir/recover-20220715/UBNA_007/20220713_100000.WAV,Foliage,recover-20220715,007,1795
