start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name
261.8445,261.8621,24609.0,28301.0,Echolocation,Nyctalus leisleri,0.418,0.509,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
399.4445,399.4618,26328.0,29705.0,Echolocation,Nyctalus leisleri,0.475,0.573,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
401.4485,401.4662,25468.0,28673.0,Echolocation,Nyctalus leisleri,0.472,0.57,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
401.8505,401.8671,25468.0,30329.0,Echolocation,Nyctalus leisleri,0.338,0.614,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
402.1175,402.1346,25468.0,29494.0,Echolocation,Nyctalus leisleri,0.495,0.594,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
402.3945,402.409,25468.0,30617.0,Echolocation,Nyctalus leisleri,0.409,0.689,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
402.7915,402.8081,25468.0,29828.0,Echolocation,Nyctalus leisleri,0.303,0.608,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
403.0635,403.08,25468.0,30425.0,Echolocation,Nyctalus leisleri,0.318,0.619,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
403.3405,403.3571,25468.0,28334.0,Echolocation,Nyctalus leisleri,0.489,0.608,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
403.7395,403.757,24609.0,29320.0,Echolocation,Nyctalus leisleri,0.412,0.591,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
404.2875,404.306,24609.0,28410.0,Echolocation,Nyctalus leisleri,0.412,0.626,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
404.5585,404.5781,24609.0,28859.0,Echolocation,Nyctalus leisleri,0.283,0.536,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
404.8315,404.8498,24609.0,27562.0,Echolocation,Nyctalus leisleri,0.449,0.543,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
405.3575,405.3774,23750.0,27981.0,Echolocation,Nyctalus leisleri,0.438,0.541,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
406.0475,406.066,24609.0,27340.0,Echolocation,Nyctalus leisleri,0.464,0.528,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
669.9725,669.9888,25468.0,29665.0,Echolocation,Nyctalus leisleri,0.402,0.533,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
670.8135,670.8302,25468.0,28938.0,Echolocation,Nyctalus leisleri,0.417,0.51,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
691.4615,691.4725,22890.0,30125.0,Echolocation,Nyctalus leisleri,0.365,0.683,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
847.8905,847.9079,18593.0,22489.0,Echolocation,Nyctalus noctula,0.361,0.513,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
962.2655,962.281,24609.0,28824.0,Echolocation,Nyctalus leisleri,0.404,0.575,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
962.7345,962.7498,23750.0,27551.0,Echolocation,Nyctalus leisleri,0.558,0.644,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
963.0965,963.1113,24609.0,29799.0,Echolocation,Nyctalus leisleri,0.307,0.657,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
963.4595,963.4755,23750.0,27409.0,Echolocation,Nyctalus leisleri,0.556,0.646,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
963.8145,963.8294,24609.0,28416.0,Echolocation,Nyctalus leisleri,0.444,0.659,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
964.5375,964.5529,24609.0,28601.0,Echolocation,Nyctalus leisleri,0.419,0.626,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
1021.0725,1021.0809,39218.0,46453.0,Echolocation,Pipistrellus nathusii,0.458,0.526,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
1021.2995,1021.3072,39218.0,48606.0,Echolocation,Pipistrellus nathusii,0.457,0.584,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
1021.7185,1021.7271,38359.0,44762.0,Echolocation,Pipistrellus nathusii,0.412,0.527,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
1021.8415,1021.8492,38359.0,45226.0,Echolocation,Pipistrellus nathusii,0.414,0.503,-1,/mnt/ubna_data_01/recover-20220728/UBNA_011/20220726_093000.WAV,Foliage
