start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
1.5015,1.5085,44375.0,60824.0,Pipistrellus pipistrellus,0.362,0.526,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
1.6855,1.6913,46093.0,64706.0,Pipistrellus pipistrellus,0.397,0.544,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
4.9145,4.9225,40078.0,57134.0,Pipistrellus nathusii,0.379,0.512,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
5.0175,5.0255,38359.0,46859.0,Pipistrellus nathusii,0.466,0.536,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
5.0875,5.0927,46953.0,63114.0,Pipistrellus pipistrellus,0.472,0.6,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
5.1275,5.1357,39218.0,46321.0,Pipistrellus nathusii,0.453,0.531,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
5.3475,5.356,38359.0,46416.0,Pipistrellus nathusii,0.477,0.619,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
5.6305,5.6371,39218.0,48703.0,Pipistrellus nathusii,0.455,0.538,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
6.0575,6.0667,39218.0,48801.0,Pipistrellus nathusii,0.53,0.563,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
6.2715,6.2785,39218.0,51740.0,Pipistrellus nathusii,0.419,0.576,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
6.5495,6.556,37500.0,50185.0,Pipistrellus nathusii,0.305,0.53,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
6.8755,6.8831,38359.0,47473.0,Pipistrellus nathusii,0.353,0.531,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_002/20220804_070000.WAV,Foliage,recover-20220804,002
