start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.0015,0.0151,19453,25098,Nyctalus noctula,0.011,0.025,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.0015,0.033,68437,80544,Rhinolophus ferrumequinum,0.046,0.046,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.0015,0.0084,26328,35396,Nyctalus leisleri,0.005,0.025,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.0495,0.0589,22890,29660,Plecotus austriacus,0.007,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.0655,0.1035,68437,81942,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.1395,0.1515,22890,27349,Nyctalus leisleri,0.012,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.1495,0.1895,68437,82606,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.1675,0.1752,26328,38175,Eptesicus serotinus,0.007,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.1685,0.2092,68437,82662,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.1875,0.1956,27187,37422,Eptesicus serotinus,0.009,0.026,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.2335,0.2706,68437,82149,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.2705,0.3099,68437,82681,Rhinolophus ferrumequinum,0.03,0.03,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.2865,0.2956,22890,29589,Plecotus austriacus,0.007,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.3075,0.3431,68437,80785,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.3125,0.3472,68437,80971,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.3325,0.3445,22890,27357,Nyctalus leisleri,0.013,0.025,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.3475,0.3862,68437,82244,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.3975,0.4344,68437,82539,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.4185,0.457,68437,82068,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.4715,0.4784,26328,37760,Plecotus austriacus,0.008,0.029,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5315,0.5704,68437,82425,Rhinolophus ferrumequinum,0.029,0.029,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5665,0.6064,68437,82137,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5735,0.5838,27187,35857,Eptesicus serotinus,0.01,0.024,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5775,0.5825,35781,61149,Myotis brandtii,0.006,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5885,0.5976,29765,38511,Eptesicus serotinus,0.01,0.026,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.5995,0.6377,68437,81678,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6075,0.6153,23750,34108,Plecotus austriacus,0.01,0.023,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6305,0.6497,20312,23235,Nyctalus leisleri,0.014,0.023,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6465,0.6813,68437,81324,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6555,0.6913,68437,81368,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6705,0.6767,25468,36082,Plecotus austriacus,0.015,0.032,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6825,0.7216,68437,81978,Rhinolophus ferrumequinum,0.021,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.6885,0.7285,68437,81967,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.7075,0.7175,23750,28778,Nyctalus leisleri,0.01,0.022,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.7695,0.8125,68437,83270,Rhinolophus ferrumequinum,0.028,0.028,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.8555,0.8641,23750,31495,Plecotus austriacus,0.009,0.024,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.8655,0.9068,68437,83407,Rhinolophus ferrumequinum,0.033,0.033,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
0.8725,0.8827,22031,27212,Nyctalus leisleri,0.008,0.021,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220828/UBNA_007/20220826_073000.WAV,Telephone Field,recover-20220828,007,1795
