start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
635.8795,635.8869,46953.0,59158.0,Echolocation,Pipistrellus pipistrellus,0.381,0.504,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.2455,649.2507,46093.0,56645.0,Echolocation,Pipistrellus pipistrellus,0.502,0.521,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.3455,649.3507,47812.0,58648.0,Echolocation,Pipistrellus pipistrellus,0.628,0.639,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.4435,649.4504,46953.0,61506.0,Echolocation,Pipistrellus pipistrellus,0.578,0.627,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.5445,649.5501,46953.0,59258.0,Echolocation,Pipistrellus pipistrellus,0.604,0.647,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.6325,649.6371,46093.0,61033.0,Echolocation,Pipistrellus pipistrellus,0.632,0.671,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.7195,649.7246,48671.0,62085.0,Echolocation,Pipistrellus pipistrellus,0.692,0.72,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
649.8025,649.8083,46093.0,56479.0,Echolocation,Pipistrellus pipistrellus,0.503,0.52,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
653.8975,653.9034,47812.0,56726.0,Echolocation,Pipistrellus pipistrellus,0.535,0.563,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.0925,654.0974,48671.0,61708.0,Echolocation,Pipistrellus pipistrellus,0.616,0.64,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.1895,654.1953,47812.0,59109.0,Echolocation,Pipistrellus pipistrellus,0.597,0.621,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.3765,654.3823,46093.0,57897.0,Echolocation,Pipistrellus pipistrellus,0.546,0.588,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.4705,654.4752,47812.0,61868.0,Echolocation,Pipistrellus pipistrellus,0.54,0.599,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.5565,654.5623,46093.0,62308.0,Echolocation,Pipistrellus pipistrellus,0.535,0.706,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.6455,654.6514999999999,46953.0,60538.0,Echolocation,Pipistrellus pipistrellus,0.472,0.541,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
654.7295,654.7359,48671.0,63277.0,Echolocation,Pipistrellus pipistrellus,0.518,0.578,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
655.2725,655.2784,48671.0,59615.0,Echolocation,Pipistrellus pipistrellus,0.559,0.574,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
669.7795,669.7868,47812.0,55605.0,Echolocation,Pipistrellus pipistrellus,0.497,0.529,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
690.4495,690.4559,46953.0,58280.0,Echolocation,Pipistrellus pipistrellus,0.548,0.606,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
691.7025,691.7072,44375.0,57156.0,Echolocation,Pipistrellus pipistrellus,0.442,0.502,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
696.1615,696.169,47812.0,61346.0,Echolocation,Pipistrellus pipistrellus,0.486,0.527,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
696.4315,696.4368,48671.0,61477.0,Echolocation,Pipistrellus pipistrellus,0.496,0.51,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
696.6265,696.634,47812.0,60986.0,Echolocation,Pipistrellus pipistrellus,0.463,0.532,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
696.7315,696.7388,47812.0,62936.0,Echolocation,Pipistrellus pipistrellus,0.564,0.676,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
697.0355,697.0421,46093.0,60297.0,Echolocation,Pipistrellus pipistrellus,0.532,0.608,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
697.3275,697.3339,46953.0,62264.0,Echolocation,Pipistrellus pipistrellus,0.525,0.575,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
744.5375,744.5435,45234.0,52971.0,Echolocation,Pipistrellus pipistrellus,0.536,0.568,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
744.7245,744.7306,46093.0,52855.0,Echolocation,Pipistrellus pipistrellus,0.52,0.551,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
746.4615,746.4674,47812.0,60146.0,Echolocation,Pipistrellus pipistrellus,0.521,0.548,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
747.1455,747.1507,48671.0,59490.0,Echolocation,Pipistrellus pipistrellus,0.575,0.589,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
747.3625,747.3684,47812.0,58589.0,Echolocation,Pipistrellus pipistrellus,0.612,0.626,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
747.4675,747.4733,47812.0,59209.0,Echolocation,Pipistrellus pipistrellus,0.524,0.534,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
747.8685,747.8738,46093.0,58666.0,Echolocation,Pipistrellus pipistrellus,0.592,0.616,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
747.9745,747.9808,46953.0,59195.0,Echolocation,Pipistrellus pipistrellus,0.491,0.557,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
748.9105,748.9152,46953.0,56775.0,Echolocation,Pipistrellus pipistrellus,0.5,0.52,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
750.0885,750.0947,46953.0,57943.0,Echolocation,Pipistrellus pipistrellus,0.538,0.576,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
1065.6555,1065.6688,23750.0,28595.0,Echolocation,Nyctalus leisleri,0.387,0.518,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_120000.WAV,recover-20220915,UBNA_001,Telephone Field
