start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
6.7155,6.7211,46093.0,55860.0,Pipistrellus pipistrellus,0.506,0.519,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
499.7995,499.8072,46953.0,57896.0,Pipistrellus pipistrellus,0.494,0.582,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
500.0895,500.0946,46093.0,58385.0,Pipistrellus pipistrellus,0.59,0.648,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1261.3455,1261.3501,45234.0,54470.0,Pipistrellus pipistrellus,0.497,0.537,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1269.1965,1269.202,44375.0,54064.0,Pipistrellus pipistrellus,0.472,0.516,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1635.3145,1635.3209,46953.0,55648.0,Pipistrellus pipistrellus,0.486,0.506,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1721.8655,1721.8709,50390.0,58070.0,Pipistrellus pipistrellus,0.417,0.514,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1721.9765,1721.9809,51250.0,67455.0,Pipistrellus pipistrellus,0.391,0.559,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1722.0355,1722.041,51250.0,61156.0,Pipistrellus pipistrellus,0.436,0.504,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1722.1915,1722.1973,50390.0,64561.0,Pipistrellus pipistrellus,0.472,0.56,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1722.8765,1722.8815,47812.0,62328.0,Pipistrellus pipistrellus,0.509,0.582,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1722.9665,1722.9731,47812.0,61055.0,Pipistrellus pipistrellus,0.573,0.628,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.0605,1723.0667,48671.0,66735.0,Pipistrellus pipistrellus,0.633,0.757,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.1275,1723.1333,47812.0,63787.0,Pipistrellus pipistrellus,0.496,0.572,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.1535,1723.1589,49531.0,62804.0,Pipistrellus pipistrellus,0.532,0.608,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.2235,1723.2289,47812.0,62138.0,Pipistrellus pipistrellus,0.429,0.524,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.3415,1723.348,49531.0,64753.0,Pipistrellus pipistrellus,0.608,0.705,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.3985,1723.4043,46093.0,60683.0,Pipistrellus pipistrellus,0.521,0.599,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.4375,1723.4425,49531.0,57958.0,Pipistrellus pipistrellus,0.457,0.547,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.5265,1723.5319,49531.0,62402.0,Pipistrellus pipistrellus,0.559,0.631,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.5625,1723.5681,46953.0,59827.0,Pipistrellus pipistrellus,0.558,0.602,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.6435,1723.649,46953.0,64869.0,Pipistrellus pipistrellus,0.464,0.546,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.8255,1723.8318,46953.0,63122.0,Pipistrellus pipistrellus,0.635,0.697,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1723.9895,1723.9955,46093.0,58714.0,Pipistrellus pipistrellus,0.453,0.513,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.0245,1724.0291,48671.0,62525.0,Pipistrellus pipistrellus,0.598,0.619,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.1275,1724.1322,47812.0,57761.0,Pipistrellus pipistrellus,0.54,0.55,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.1735,1724.1792,46093.0,59936.0,Pipistrellus pipistrellus,0.636,0.665,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.2255,1724.2316,47812.0,63052.0,Pipistrellus pipistrellus,0.591,0.623,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.3165,1724.3218,47812.0,64351.0,Pipistrellus pipistrellus,0.526,0.566,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.3455,1724.351,46953.0,56884.0,Pipistrellus pipistrellus,0.561,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.4365,1724.441,48671.0,63149.0,Pipistrellus pipistrellus,0.583,0.612,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.4605,1724.4657,46093.0,60528.0,Pipistrellus pipistrellus,0.613,0.641,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.5305,1724.5366,46093.0,67334.0,Pipistrellus pipistrellus,0.587,0.617,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.6195,1724.6251,46953.0,59181.0,Pipistrellus pipistrellus,0.554,0.579,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.7155,1724.7211,46093.0,60586.0,Pipistrellus pipistrellus,0.649,0.693,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.8255,1724.8321,45234.0,64372.0,Pipistrellus pipistrellus,0.682,0.724,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.8895,1724.895,46953.0,61005.0,Pipistrellus pipistrellus,0.693,0.725,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
1724.9265,1724.9316,46953.0,57309.0,Pipistrellus pipistrellus,0.526,0.543,-1,Echolocation,/mnt/ubna_data_02/recover-20220922/UBNA_001/20220921_080000.WAV,recover-20220922,UBNA_001,Telephone Field
