start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
611.7225,611.7284,45234.0,58760.0,Echolocation,Pipistrellus pipistrellus,0.631,0.689,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
611.9435,611.9479,45234.0,58232.0,Echolocation,Pipistrellus pipistrellus,0.508,0.548,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
612.1515,612.1566,45234.0,56612.0,Echolocation,Pipistrellus pipistrellus,0.61,0.649,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
612.3935,612.4003,44375.0,57710.0,Echolocation,Pipistrellus pipistrellus,0.52,0.607,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
612.6295,612.6361,43515.0,56978.0,Echolocation,Pipistrellus pipistrellus,0.631,0.674,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
612.8305,612.8355,43515.0,55224.0,Echolocation,Pipistrellus pipistrellus,0.543,0.59,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
612.9955,613.0008,45234.0,54890.0,Echolocation,Pipistrellus pipistrellus,0.606,0.619,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
614.3995,614.4043,46953.0,60789.0,Echolocation,Pipistrellus pipistrellus,0.625,0.691,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
614.6435,614.649,46953.0,57072.0,Echolocation,Pipistrellus pipistrellus,0.525,0.559,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
614.7885,614.794,46093.0,57682.0,Echolocation,Pipistrellus pipistrellus,0.631,0.661,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
615.0805,615.0868,45234.0,52812.0,Echolocation,Pipistrellus pipistrellus,0.487,0.532,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
615.3055,615.3117,44375.0,52116.0,Echolocation,Pipistrellus pipistrellus,0.572,0.611,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
920.0955,920.1018,45234.0,58051.0,Echolocation,Pipistrellus pipistrellus,0.417,0.523,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
1120.3525,1120.3601,43515.0,54107.0,Echolocation,Pipistrellus pipistrellus,0.415,0.511,-1,/mnt/ubna_data_02/recover-20221003/UBNA_007/20220930_120000.WAV,Telephone Field,recover-20221003,007
