start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
63.3685,63.3744,45234.0,54523.0,Echolocation,Pipistrellus pipistrellus,0.526,0.586,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.2595,128.2654,45234.0,57778.0,Echolocation,Pipistrellus pipistrellus,0.578,0.631,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.3455,128.3508,46093.0,53451.0,Echolocation,Pipistrellus pipistrellus,0.502,0.516,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.4255,128.4306,45234.0,57032.0,Echolocation,Pipistrellus pipistrellus,0.601,0.629,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.6595,128.6653,44375.0,56728.0,Echolocation,Pipistrellus pipistrellus,0.525,0.56,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.8495,128.8552,46953.0,59388.0,Echolocation,Pipistrellus pipistrellus,0.508,0.565,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
128.9235,128.92849999999999,45234.0,58338.0,Echolocation,Pipistrellus pipistrellus,0.539,0.577,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
129.0845,129.0903,46093.0,58545.0,Echolocation,Pipistrellus pipistrellus,0.543,0.581,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
129.2615,129.2664,45234.0,59888.0,Echolocation,Pipistrellus pipistrellus,0.614,0.654,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
129.4335,129.439,46953.0,55092.0,Echolocation,Pipistrellus pipistrellus,0.617,0.636,-1,/mnt/ubna_data_02/recover-20221027/UBNA_001/20221021_080000.WAV,Telephone Field,recover-20221027,001,300
