start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.1025,0.1085,51250.0,57507.0,Pipistrellus pipistrellus,0.46,0.524,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.1345,1.1407,46093.0,67066.0,Pipistrellus pipistrellus,0.418,0.579,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.2185,1.2265,46953.0,70519.0,Pipistrellus pipistrellus,0.364,0.525,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.3885,1.3939,47812.0,71004.0,Pipistrellus pipistrellus,0.49,0.571,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.4795,1.4873,46953.0,67623.0,Pipistrellus pipistrellus,0.439,0.51,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.5685,1.5747,44375.0,79161.0,Pipistrellus pipistrellus,0.304,0.538,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.6645,1.67,42656.0,77654.0,Pipistrellus pipistrellus,0.269,0.546,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.8215,1.8268,43515.0,73421.0,Pipistrellus pipistrellus,0.239,0.558,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
1.9135,1.9192,43515.0,74517.0,Pipistrellus pipistrellus,0.472,0.608,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
2.8115,2.8156,46093.0,65109.0,Pipistrellus pipistrellus,0.452,0.565,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
3.5835,3.5872,42656.0,82845.0,Myotis alcathoe,0.286,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
3.7245,3.7291,43515.0,79987.0,Myotis alcathoe,0.374,0.51,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
4.1025,4.1076,38359.0,82262.0,Myotis alcathoe,0.206,0.546,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
4.1865,4.1916,50390.0,58419.0,Pipistrellus pipistrellus,0.459,0.509,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
4.3535,4.3578,42656.0,75891.0,Myotis mystacinus,0.257,0.528,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
7.0995,7.1036,47812.0,62536.0,Pipistrellus pipistrellus,0.23,0.533,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
7.2165,7.2207,42656.0,76741.0,Myotis mystacinus,0.222,0.552,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
7.3675,7.3711,45234.0,73603.0,Myotis alcathoe,0.352,0.519,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
7.5105,7.5141,44375.0,82259.0,Myotis alcathoe,0.451,0.651,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
7.8065,7.8105,42656.0,77951.0,Myotis alcathoe,0.265,0.598,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
8.6125,8.6162,49531.0,78279.0,Myotis alcathoe,0.254,0.543,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
8.7225,8.726,48671.0,78590.0,Myotis alcathoe,0.423,0.557,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
8.7715,8.7747,48671.0,73706.0,Myotis alcathoe,0.334,0.505,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
9.2045,9.2109,51250.0,63344.0,Pipistrellus pipistrellus,0.52,0.587,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
9.4615,9.4661,47812.0,71676.0,Pipistrellus pipistrellus,0.568,0.639,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
9.8835,9.8881,45234.0,70959.0,Pipistrellus pipistrellus,0.502,0.591,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
10.6585,10.6664,46953.0,60317.0,Pipistrellus pipistrellus,0.49,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
11.7945,11.8021,44375.0,62966.0,Pipistrellus pipistrellus,0.427,0.602,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
12.0305,12.0381,46953.0,54876.0,Pipistrellus pipistrellus,0.618,0.656,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
12.2345,12.2429,45234.0,57187.0,Pipistrellus pipistrellus,0.558,0.639,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
13.1975,13.2056,46953.0,59625.0,Pipistrellus pipistrellus,0.444,0.523,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
13.5725,13.5794,46953.0,57132.0,Pipistrellus pipistrellus,0.562,0.644,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
13.6725,13.6793,46953.0,58752.0,Pipistrellus pipistrellus,0.567,0.648,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
16.5135,16.5187,49531.0,62275.0,Pipistrellus pipistrellus,0.574,0.607,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
16.7475,16.7521,48671.0,63521.0,Pipistrellus pipistrellus,0.519,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
16.9115,16.9167,46953.0,63400.0,Pipistrellus pipistrellus,0.455,0.502,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
16.9995,17.0043,47812.0,61787.0,Pipistrellus pipistrellus,0.623,0.69,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
17.0875,17.0931,48671.0,60035.0,Pipistrellus pipistrellus,0.594,0.612,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
17.2185,17.2242,49531.0,60214.0,Pipistrellus pipistrellus,0.513,0.534,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
17.3495,17.3554,49531.0,58485.0,Pipistrellus pipistrellus,0.525,0.546,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
17.4575,17.4639,48671.0,64985.0,Pipistrellus pipistrellus,0.486,0.561,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
20.4015,20.4076,46953.0,55635.0,Pipistrellus pipistrellus,0.479,0.507,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
20.7505,20.7555,46093.0,57375.0,Pipistrellus pipistrellus,0.517,0.576,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
21.6615,21.6658,50390.0,65733.0,Pipistrellus pipistrellus,0.485,0.569,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
21.8545,21.8591,52109.0,64105.0,Pipistrellus pipistrellus,0.376,0.515,-1,Echolocation,/mnt/ubna_data_02/recover-20221110/UBNA_007/20221028_073000.WAV,Telephone Field,recover-20221110,007,300
