start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.0315,0.0464,23750.0,27957.0,Nyctalus leisleri,0.566,0.643,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
0.4235,0.4399,23750.0,27319.0,Nyctalus leisleri,0.607,0.654,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
0.6615,0.6766,22890.0,27263.0,Nyctalus leisleri,0.535,0.613,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
0.9085,0.9254,22890.0,25670.0,Nyctalus leisleri,0.604,0.648,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
1.1565,1.175,22890.0,26693.0,Nyctalus leisleri,0.434,0.511,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
1.2405,1.254,24609.0,28292.0,Nyctalus leisleri,0.46,0.564,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
1.3285,1.3409,23750.0,29792.0,Nyctalus leisleri,0.242,0.536,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
1.4045,1.4237,22890.0,25835.0,Nyctalus leisleri,0.577,0.625,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
1.7945,1.809,23750.0,27368.0,Nyctalus leisleri,0.532,0.651,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
2.0315,2.0468,22890.0,26831.0,Nyctalus leisleri,0.601,0.677,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
2.1455,2.1564,23750.0,31232.0,Nyctalus leisleri,0.298,0.649,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
2.2725,2.2891,22890.0,26994.0,Nyctalus leisleri,0.495,0.629,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
2.5545,2.5661,23750.0,30588.0,Nyctalus leisleri,0.248,0.505,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
2.7785,2.7935,23750.0,27679.0,Nyctalus leisleri,0.608,0.689,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
3.0335,3.0494,23750.0,27077.0,Nyctalus leisleri,0.514,0.574,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
3.2925,3.3074,23750.0,27718.0,Nyctalus leisleri,0.594,0.696,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220802_093000.WAV,Carp Pond,recover-20220804,001,1795
