start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
46.1715,46.181200000000004,40078.0,46216.0,Echolocation,Pipistrellus nathusii,0.461,0.509,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
47.6405,47.650099999999995,40937.0,51013.0,Echolocation,Pipistrellus nathusii,0.376,0.514,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
48.0305,48.0392,40078.0,47420.0,Echolocation,Pipistrellus nathusii,0.587,0.625,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
48.3345,48.3438,39218.0,48038.0,Echolocation,Pipistrellus nathusii,0.537,0.586,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
48.442499999999995,48.452200000000005,39218.0,49638.0,Echolocation,Pipistrellus nathusii,0.472,0.56,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
48.5285,48.5351,42656.0,53734.0,Echolocation,Pipistrellus nathusii,0.505,0.579,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
48.8335,48.8417,40937.0,50154.0,Echolocation,Pipistrellus nathusii,0.628,0.669,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.1355,49.1449,40078.0,49374.0,Echolocation,Pipistrellus nathusii,0.549,0.659,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.4375,49.446799999999996,40078.0,47701.0,Echolocation,Pipistrellus nathusii,0.434,0.504,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.539500000000004,49.5477,40078.0,53490.0,Echolocation,Pipistrellus nathusii,0.563,0.609,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.6445,49.655,39218.0,50400.0,Echolocation,Pipistrellus nathusii,0.619,0.694,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.7305,49.7399,39218.0,55971.0,Echolocation,Pipistrellus nathusii,0.506,0.637,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
49.9525,49.961600000000004,39218.0,52152.0,Echolocation,Pipistrellus nathusii,0.53,0.597,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
50.3365,50.3458,40078.0,49888.0,Echolocation,Pipistrellus nathusii,0.566,0.658,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
50.7375,50.746700000000004,40078.0,49746.0,Echolocation,Pipistrellus nathusii,0.525,0.647,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
51.057500000000005,51.0651,40078.0,47497.0,Echolocation,Pipistrellus nathusii,0.517,0.564,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
51.3555,51.3649,39218.0,47136.0,Echolocation,Pipistrellus nathusii,0.594,0.645,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
51.661500000000004,51.6702,40078.0,46463.0,Echolocation,Pipistrellus nathusii,0.489,0.52,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
104.4065,104.4191,24609.0,28610.0,Echolocation,Nyctalus leisleri,0.366,0.529,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
107.2345,107.2519,24609.0,27485.0,Echolocation,Nyctalus leisleri,0.479,0.571,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
107.9065,107.9221,24609.0,27889.0,Echolocation,Nyctalus leisleri,0.452,0.586,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
108.1805,108.1952,24609.0,29190.0,Echolocation,Nyctalus leisleri,0.495,0.621,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
108.5705,108.5877,24609.0,28167.0,Echolocation,Nyctalus leisleri,0.427,0.529,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
108.84049999999999,108.8532,25468.0,29705.0,Echolocation,Nyctalus leisleri,0.385,0.598,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
109.2635,109.2779,24609.0,28739.0,Echolocation,Nyctalus leisleri,0.622,0.683,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
109.5385,109.55369999999999,24609.0,28507.0,Echolocation,Nyctalus leisleri,0.468,0.604,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
109.8115,109.8271,24609.0,28210.0,Echolocation,Nyctalus leisleri,0.582,0.658,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
110.0875,110.10210000000001,24609.0,28800.0,Echolocation,Nyctalus leisleri,0.436,0.548,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
110.3695,110.386,24609.0,27654.0,Echolocation,Nyctalus leisleri,0.527,0.6,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
110.6435,110.6615,24609.0,27845.0,Echolocation,Nyctalus leisleri,0.433,0.547,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
110.9325,110.9509,24609.0,26640.0,Echolocation,Nyctalus leisleri,0.46,0.523,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
111.3515,111.3671,24609.0,26897.0,Echolocation,Nyctalus leisleri,0.624,0.681,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
111.5195,111.5371,24609.0,27665.0,Echolocation,Nyctalus leisleri,0.428,0.518,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
111.7425,111.7577,25468.0,33844.0,Echolocation,Eptesicus serotinus,0.333,0.554,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.0475,112.0633,24609.0,31410.0,Echolocation,Nyctalus leisleri,0.408,0.621,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.2755,112.289,25468.0,35627.0,Echolocation,Eptesicus serotinus,0.391,0.574,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.3895,112.4033,26328.0,35286.0,Echolocation,Eptesicus serotinus,0.398,0.577,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.4975,112.5091,26328.0,35962.0,Echolocation,Eptesicus serotinus,0.326,0.622,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.5995,112.6118,26328.0,33992.0,Echolocation,Nyctalus leisleri,0.276,0.558,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.6955,112.7054,26328.0,34644.0,Echolocation,Eptesicus serotinus,0.29,0.547,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.7895,112.7986,26328.0,34794.0,Echolocation,Eptesicus serotinus,0.307,0.526,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.8845,112.89580000000001,25468.0,34759.0,Echolocation,Nyctalus leisleri,0.279,0.634,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
112.9805,112.9918,25468.0,36778.0,Echolocation,Eptesicus serotinus,0.299,0.656,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
113.5815,113.59440000000001,25468.0,31805.0,Echolocation,Nyctalus leisleri,0.334,0.64,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
113.8665,113.8809,23750.0,28357.0,Echolocation,Nyctalus leisleri,0.562,0.679,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
114.2105,114.2279,23750.0,27517.0,Echolocation,Nyctalus leisleri,0.522,0.623,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
114.4845,114.4999,24609.0,27795.0,Echolocation,Nyctalus leisleri,0.603,0.68,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
114.8785,114.8924,23750.0,27967.0,Echolocation,Nyctalus leisleri,0.511,0.663,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
115.1605,115.18209999999999,23750.0,27175.0,Echolocation,Nyctalus leisleri,0.32,0.563,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
115.5835,115.6026,22890.0,27072.0,Echolocation,Nyctalus leisleri,0.354,0.521,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
116.1525,116.17490000000001,23750.0,27418.0,Echolocation,Nyctalus leisleri,0.548,0.605,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
116.2995,116.3134,25468.0,33316.0,Echolocation,Eptesicus serotinus,0.339,0.633,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
116.5735,116.5913,24609.0,26568.0,Echolocation,Nyctalus leisleri,0.33,0.537,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
117.0015,117.0195,23750.0,27004.0,Echolocation,Nyctalus leisleri,0.407,0.56,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
117.2695,117.286,24609.0,27033.0,Echolocation,Nyctalus leisleri,0.571,0.657,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
117.5525,117.5672,23750.0,28396.0,Echolocation,Nyctalus leisleri,0.611,0.717,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
117.8385,117.8534,24609.0,28048.0,Echolocation,Nyctalus leisleri,0.591,0.669,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
118.1245,118.1422,24609.0,26790.0,Echolocation,Nyctalus leisleri,0.56,0.607,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
118.4075,118.424,23750.0,27403.0,Echolocation,Nyctalus leisleri,0.448,0.524,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
118.8245,118.8451,23750.0,25719.0,Echolocation,Nyctalus leisleri,0.593,0.629,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
119.6615,119.6808,23750.0,27172.0,Echolocation,Nyctalus leisleri,0.505,0.565,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_001/20220803_060000.WAV,Carp Pond,recover-20220804,001,1795
