start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
23.2765,23.2909,23750.0,30239.0,Nyctalus leisleri,0.289,0.584,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
192.2495,192.2595,37500.0,43821.0,Pipistrellus nathusii,0.412,0.512,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
208.4425,208.4561,22031.0,29412.0,Eptesicus serotinus,0.268,0.597,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
208.5395,208.5526,22890.0,27804.0,Nyctalus leisleri,0.224,0.511,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
208.5695,208.5798,22890.0,29243.0,Nyctalus leisleri,0.19,0.526,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
209.0555,209.0692,22890.0,26310.0,Nyctalus leisleri,0.41,0.52,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
222.0225,222.0393,22031.0,25838.0,Nyctalus leisleri,0.393,0.504,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
269.4665,269.4841,22890.0,25861.0,Nyctalus leisleri,0.558,0.593,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
269.7765,269.7952,22031.0,25467.0,Nyctalus leisleri,0.547,0.596,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
270.1725,270.1918,22031.0,26000.0,Nyctalus leisleri,0.544,0.618,-1,Echolocation,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220729_053000.WAV,recover-20220801,UBNA_005,Central Pond
