start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
58.0035,58.0077,46093.0,53904.0,Echolocation,Pipistrellus pipistrellus,0.359,0.503,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
59.5875,59.5928,46093.0,65585.0,Echolocation,Pipistrellus pipistrellus,0.272,0.521,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
59.6475,59.6532,47812.0,66213.0,Echolocation,Pipistrellus pipistrellus,0.312,0.528,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
59.7245,59.730000000000004,46953.0,65455.0,Echolocation,Pipistrellus pipistrellus,0.436,0.6,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
59.9055,59.9135,46953.0,64362.0,Echolocation,Pipistrellus pipistrellus,0.361,0.511,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
60.2465,60.2564,46093.0,63781.0,Echolocation,Pipistrellus pipistrellus,0.372,0.57,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
60.4315,60.4403,46953.0,62009.0,Echolocation,Pipistrellus pipistrellus,0.485,0.578,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
60.5245,60.5328,46093.0,58191.0,Echolocation,Pipistrellus pipistrellus,0.461,0.526,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
60.6165,60.6241,46093.0,63519.0,Echolocation,Pipistrellus pipistrellus,0.415,0.57,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
61.0815,61.0886,44375.0,58775.0,Echolocation,Pipistrellus pipistrellus,0.386,0.509,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
61.1765,61.1845,45234.0,59365.0,Echolocation,Pipistrellus pipistrellus,0.337,0.528,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
61.3625,61.368,44375.0,59331.0,Echolocation,Pipistrellus pipistrellus,0.453,0.539,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
104.2265,104.244,22890.0,28381.0,Echolocation,Nyctalus leisleri,0.288,0.506,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
107.9815,107.9981,22890.0,25867.0,Echolocation,Nyctalus leisleri,0.446,0.506,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
154.8275,154.8439,22890.0,26528.0,Echolocation,Nyctalus leisleri,0.559,0.615,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
155.0975,155.115,22890.0,26632.0,Echolocation,Nyctalus leisleri,0.589,0.618,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
155.3605,155.378,23750.0,26628.0,Echolocation,Nyctalus leisleri,0.476,0.52,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
156.1555,156.1713,23750.0,27683.0,Echolocation,Nyctalus leisleri,0.484,0.587,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
156.4265,156.4423,22890.0,27429.0,Echolocation,Nyctalus leisleri,0.481,0.56,-1,/mnt/ubna_data_01/recover-20220801/UBNA_005/20220730_100000.WAV,recover-20220801,UBNA_005,Central Pond
