start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
341.2785,341.2856,45234.0,51176.0,Echolocation,Pipistrellus pipistrellus,0.491,0.503,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
341.9575,341.967,45234.0,51078.0,Echolocation,Pipistrellus pipistrellus,0.471,0.509,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
342.4685,342.4773,46953.0,54547.0,Echolocation,Pipistrellus pipistrellus,0.542,0.555,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
342.5565,342.5673,45234.0,51842.0,Echolocation,Pipistrellus pipistrellus,0.489,0.545,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
342.6265,342.6355,47812.0,58770.0,Echolocation,Pipistrellus pipistrellus,0.527,0.571,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
342.8775,342.8843,46093.0,58262.0,Echolocation,Pipistrellus pipistrellus,0.475,0.527,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.1465,343.1535,45234.0,56987.0,Echolocation,Pipistrellus pipistrellus,0.546,0.594,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.2895,343.2963,43515.0,59330.0,Echolocation,Pipistrellus pipistrellus,0.455,0.585,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.5605,343.5677,45234.0,58306.0,Echolocation,Pipistrellus pipistrellus,0.508,0.53,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.6325,343.6387,45234.0,59375.0,Echolocation,Pipistrellus pipistrellus,0.55,0.578,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.7965,343.803,45234.0,58203.0,Echolocation,Pipistrellus pipistrellus,0.486,0.522,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
343.9395,343.9457,44375.0,52674.0,Echolocation,Pipistrellus pipistrellus,0.495,0.544,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
344.0625,344.0695,43515.0,58965.0,Echolocation,Pipistrellus pipistrellus,0.23,0.547,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
344.2325,344.2387,43515.0,57136.0,Echolocation,Pipistrellus pipistrellus,0.426,0.528,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
344.3245,344.332,43515.0,59403.0,Echolocation,Pipistrellus pipistrellus,0.397,0.56,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
344.7735,344.7821,43515.0,53591.0,Echolocation,Pipistrellus pipistrellus,0.457,0.527,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
345.7035,345.711,44375.0,54100.0,Echolocation,Pipistrellus pipistrellus,0.422,0.534,-1,/mnt/ubna_data_02/recover-20220915/UBNA_003/20220913_080000.WAV,Central Pond,recover-20220915,003
