start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
20.5125,20.5195,45234.0,53883.0,Pipistrellus pipistrellus,0.589,0.626,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
20.7215,20.7292,45234.0,53383.0,Pipistrellus pipistrellus,0.507,0.544,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
20.9365,20.9423,45234.0,54009.0,Pipistrellus pipistrellus,0.589,0.64,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.0385,21.0456,45234.0,51341.0,Pipistrellus pipistrellus,0.49,0.506,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.1395,21.1449,45234.0,53222.0,Pipistrellus pipistrellus,0.579,0.598,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.3465,21.3538,46093.0,55290.0,Pipistrellus pipistrellus,0.547,0.602,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.4515,21.4598,45234.0,51460.0,Pipistrellus pipistrellus,0.508,0.555,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.5525,21.5603,46953.0,58392.0,Pipistrellus pipistrellus,0.47,0.509,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.6545,21.6665,46093.0,58991.0,Pipistrellus pipistrellus,0.406,0.519,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.7555,21.7623,46093.0,56003.0,Pipistrellus pipistrellus,0.567,0.589,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.8515,21.8594,45234.0,59689.0,Pipistrellus pipistrellus,0.603,0.649,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
21.9495,21.9567,45234.0,55230.0,Pipistrellus pipistrellus,0.601,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.0485,22.0559,45234.0,64083.0,Pipistrellus pipistrellus,0.588,0.673,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.1465,22.1537,46953.0,61334.0,Pipistrellus pipistrellus,0.514,0.67,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.2405,22.2473,45234.0,69287.0,Pipistrellus pipistrellus,0.551,0.592,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.3365,22.3444,46093.0,64057.0,Pipistrellus pipistrellus,0.566,0.611,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.4275,22.434,46093.0,72433.0,Pipistrellus pipistrellus,0.555,0.623,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.6155,22.6241,46953.0,65144.0,Pipistrellus pipistrellus,0.466,0.527,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.7095,22.7163,45234.0,59785.0,Pipistrellus pipistrellus,0.498,0.542,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
22.9965,23.0037,45234.0,65957.0,Pipistrellus pipistrellus,0.552,0.597,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
23.1905,23.1961,45234.0,63368.0,Pipistrellus pipistrellus,0.65,0.688,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
23.3875,23.3926,42656.0,69000.0,Pipistrellus pipistrellus,0.561,0.623,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
23.5775,23.5835,45234.0,58702.0,Pipistrellus pipistrellus,0.549,0.578,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
23.7735,23.7802,45234.0,66813.0,Pipistrellus pipistrellus,0.507,0.641,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
23.8655,23.8731,46093.0,56279.0,Pipistrellus pipistrellus,0.592,0.616,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.0635,24.0699,45234.0,62150.0,Pipistrellus pipistrellus,0.674,0.71,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.2615,24.2725,45234.0,53923.0,Pipistrellus pipistrellus,0.449,0.504,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.4615,24.4684,42656.0,63569.0,Pipistrellus pipistrellus,0.573,0.663,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.5675,24.5737,45234.0,52456.0,Pipistrellus pipistrellus,0.581,0.594,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.6675,24.6752,45234.0,55634.0,Pipistrellus pipistrellus,0.665,0.694,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
24.8885,24.8953,43515.0,58655.0,Pipistrellus pipistrellus,0.594,0.631,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
25.1025,25.1131,45234.0,50968.0,Pipistrellus pipistrellus,0.542,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
25.1935,25.203,44375.0,50477.0,Pipistrellus pipistrellus,0.542,0.577,-1,Echolocation,/mnt/ubna_data_02/recover-20221003/UBNA_009/20221002_040000.WAV,Central Pond,recover-20221003,009
