start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
273.8225,273.8342,26328.0,30942.0,Echolocation,Nyctalus leisleri,0.287,0.523,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
274.0535,274.0652,26328.0,31520.0,Echolocation,Nyctalus leisleri,0.458,0.613,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
274.2845,274.2973,26328.0,31128.0,Echolocation,Nyctalus leisleri,0.58,0.688,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
274.5095,274.5224,26328.0,31381.0,Echolocation,Nyctalus leisleri,0.38,0.576,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
274.7445,274.7556,26328.0,32986.0,Echolocation,Nyctalus leisleri,0.422,0.63,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
274.9735,274.9878,27187.0,31807.0,Echolocation,Nyctalus leisleri,0.451,0.566,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
275.2015,275.215,26328.0,31265.0,Echolocation,Nyctalus leisleri,0.335,0.533,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
275.3235,275.3334,27187.0,35872.0,Echolocation,Eptesicus serotinus,0.308,0.656,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
275.5345,275.5468,27187.0,32139.0,Echolocation,Nyctalus leisleri,0.487,0.587,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
275.7675,275.7797,26328.0,33315.0,Echolocation,Nyctalus leisleri,0.297,0.614,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
275.9085,275.9181,27187.0,33908.0,Echolocation,Nyctalus leisleri,0.446,0.654,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
276.1225,276.1356,27187.0,32639.0,Echolocation,Nyctalus leisleri,0.563,0.677,-1,/mnt/ubna_data_02_mir/recover-20221110/UBNA_009/20221107_070000.WAV,Central Pond,recover-20221110,009,300
