start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
10.7645,10.7808,24609.0,30143.0,Nyctalus leisleri,0.357,0.507,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
11.3105,11.3271,23750.0,31101.0,Nyctalus leisleri,0.251,0.536,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
11.8875,11.906,23750.0,29903.0,Nyctalus leisleri,0.362,0.556,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
12.4325,12.4477,23750.0,31825.0,Nyctalus leisleri,0.334,0.668,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
13.0915,13.1067,23750.0,34239.0,Eptesicus serotinus,0.411,0.647,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
13.3635,13.3775,24609.0,32051.0,Eptesicus serotinus,0.276,0.644,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
13.6385,13.653,23750.0,32938.0,Nyctalus leisleri,0.371,0.697,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
13.9155,13.9281,24609.0,29403.0,Nyctalus leisleri,0.356,0.544,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
15.5075,15.5209,25468.0,31718.0,Nyctalus leisleri,0.406,0.644,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
15.6635,15.6789,24609.0,34766.0,Eptesicus serotinus,0.398,0.678,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
16.1705,16.1846,23750.0,31810.0,Nyctalus leisleri,0.335,0.679,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
16.8445,16.8627,23750.0,27941.0,Nyctalus leisleri,0.446,0.554,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
18.8815,18.8926,23750.0,29624.0,Nyctalus leisleri,0.468,0.653,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
19.4405,19.4536,23750.0,29477.0,Nyctalus leisleri,0.454,0.647,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
23.6045,23.6175,24609.0,30315.0,Nyctalus leisleri,0.348,0.594,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
24.0435,24.058,23750.0,32754.0,Eptesicus serotinus,0.33,0.679,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
24.6015,24.6159,23750.0,30573.0,Nyctalus leisleri,0.333,0.653,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
35.3615,35.3761,26328.0,29325.0,Nyctalus leisleri,0.553,0.619,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
70.3535,70.3693,27187.0,30260.0,Nyctalus leisleri,0.398,0.509,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
125.5625,125.5775,25468.0,28872.0,Nyctalus leisleri,0.484,0.584,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
136.7115,136.7143,46953.0,62966.0,Myotis alcathoe,0.244,0.522,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
137.8445,137.8475,46953.0,66312.0,Myotis alcathoe,0.259,0.553,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
137.9035,137.9068,45234.0,70612.0,Myotis alcathoe,0.255,0.521,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.0925,138.0971,43515.0,74280.0,Myotis alcathoe,0.317,0.527,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.1895,138.194,47812.0,67593.0,Pipistrellus pipistrellus,0.27,0.558,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.2475,138.252,46093.0,76392.0,Myotis alcathoe,0.292,0.543,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.3785,138.3835,44375.0,70432.0,Myotis alcathoe,0.249,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.5625,138.567,45234.0,68441.0,Pipistrellus pipistrellus,0.237,0.534,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
138.6795,138.6851,44375.0,70771.0,Myotis alcathoe,0.2,0.502,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
139.1145,139.1191,44375.0,57821.0,Pipistrellus pipistrellus,0.375,0.61,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
139.3205,139.3257,41796.0,89169.0,Myotis alcathoe,0.362,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
139.3745,139.3796,43515.0,80633.0,Myotis alcathoe,0.289,0.517,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.0245,140.0278,46093.0,63537.0,Myotis mystacinus,0.364,0.513,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.0685,140.0713,44375.0,65981.0,Myotis mystacinus,0.325,0.506,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.4575,140.4606,51250.0,71761.0,Myotis mystacinus,0.269,0.595,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.5145,140.5178,40937.0,68258.0,Myotis mystacinus,0.351,0.506,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.5775,140.581,42656.0,69338.0,Myotis mystacinus,0.453,0.662,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.6415,140.6452,41796.0,70429.0,Myotis mystacinus,0.293,0.636,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
140.7015,140.70510000000002,43515.0,73602.0,Myotis alcathoe,0.277,0.634,-1,Echolocation,/mnt/ubna_data_01/recover-20220627_unit2/20220626_100000.WAV,Foliage,recover-20220627_unit2,009
