start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
292.6895,292.7046,16875.0,21557.0,Echolocation,Nyctalus noctula,0.325,0.509,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
385.79449999999997,385.8066,16875.0,23096.0,Echolocation,Nyctalus noctula,0.387,0.521,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
416.5355,416.5479,16875.0,22827.0,Echolocation,Nyctalus noctula,0.353,0.513,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
504.8505,504.8625,16875.0,22556.0,Echolocation,Nyctalus noctula,0.353,0.514,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
544.7555,544.7674,16875.0,23313.0,Echolocation,Nyctalus noctula,0.226,0.503,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
660.6385,660.6499,16015.0,22025.0,Echolocation,Nyctalus noctula,0.289,0.516,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
667.1775,667.1892,16875.0,23582.0,Echolocation,Nyctalus noctula,0.402,0.544,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
677.9525,677.965,16875.0,22513.0,Echolocation,Nyctalus noctula,0.349,0.504,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
696.5085,696.5209,16875.0,22239.0,Echolocation,Nyctalus noctula,0.358,0.532,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
837.7705,837.7828,16875.0,22317.0,Echolocation,Nyctalus noctula,0.317,0.514,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
853.7005,853.7191,16875.0,20379.0,Echolocation,Nyctalus noctula,0.313,0.506,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
975.1205,975.133,16015.0,21681.0,Echolocation,Nyctalus noctula,0.282,0.523,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
976.7375,976.75,16875.0,22519.0,Echolocation,Nyctalus noctula,0.408,0.564,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1008.4495,1008.463,16015.0,21239.0,Echolocation,Nyctalus noctula,0.371,0.547,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1119.5145,1119.527,16015.0,20496.0,Echolocation,Nyctalus noctula,0.239,0.502,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1133.6185,1133.6314,16875.0,21778.0,Echolocation,Nyctalus noctula,0.342,0.512,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1134.1835,1134.1951,16875.0,23237.0,Echolocation,Nyctalus noctula,0.402,0.562,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1135.3295,1135.3452,16875.0,21927.0,Echolocation,Nyctalus noctula,0.389,0.52,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1136.2545,1136.2658,16875.0,24063.0,Echolocation,Nyctalus noctula,0.319,0.511,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1140.9625,1140.9779,16875.0,22117.0,Echolocation,Nyctalus noctula,0.364,0.502,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1142.2185,1142.2319,16875.0,21565.0,Echolocation,Nyctalus noctula,0.356,0.53,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1150.6615,1150.6752,16875.0,22106.0,Echolocation,Nyctalus noctula,0.358,0.503,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1180.7145,1180.7276,16875.0,21643.0,Echolocation,Nyctalus noctula,0.39,0.531,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1182.5405,1182.5556,16015.0,20528.0,Echolocation,Nyctalus leisleri,0.284,0.544,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1206.6415,1206.657,16875.0,21532.0,Echolocation,Nyctalus noctula,0.381,0.512,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
1208.6775,1208.6941,16875.0,20488.0,Echolocation,Nyctalus noctula,0.342,0.517,-1,/mnt/ubna_data_01_mir/recover-20220804/UBNA_002/20220802_010000.WAV,Foliage,recover-20220804,002,1795
