start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
86.1905,86.2042,24609.0,29826.0,Echolocation,Nyctalus leisleri,0.291,0.557,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
86.6865,86.7012,24609.0,28164.0,Echolocation,Nyctalus leisleri,0.428,0.553,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
86.9585,86.9726,23750.0,27535.0,Echolocation,Nyctalus leisleri,0.524,0.616,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
87.3305,87.3447,24609.0,29468.0,Echolocation,Nyctalus leisleri,0.52,0.671,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
87.5765,87.59049999999999,24609.0,28665.0,Echolocation,Nyctalus leisleri,0.535,0.625,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
87.9725,87.9888,24609.0,29136.0,Echolocation,Nyctalus leisleri,0.41,0.535,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
90.7085,90.7246,24609.0,27677.0,Echolocation,Nyctalus leisleri,0.482,0.597,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
93.0005,93.0153,24609.0,27909.0,Echolocation,Nyctalus leisleri,0.412,0.515,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
139.5575,139.5739,26328.0,29191.0,Echolocation,Nyctalus leisleri,0.405,0.517,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
231.7835,231.7974,24609.0,27676.0,Echolocation,Nyctalus leisleri,0.472,0.541,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
232.2535,232.2678,23750.0,29793.0,Echolocation,Nyctalus leisleri,0.396,0.595,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
254.8265,254.8436,23750.0,27686.0,Echolocation,Nyctalus leisleri,0.582,0.634,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
255.2445,255.2584,23750.0,27375.0,Echolocation,Nyctalus leisleri,0.654,0.698,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
255.3855,255.4013,23750.0,27480.0,Echolocation,Nyctalus leisleri,0.598,0.658,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
255.6555,255.6703,23750.0,26834.0,Echolocation,Nyctalus leisleri,0.683,0.736,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
255.9575,255.9716,23750.0,28525.0,Echolocation,Nyctalus leisleri,0.504,0.635,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
256.2415,256.2564,23750.0,26647.0,Echolocation,Nyctalus leisleri,0.7,0.755,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
256.3725,256.3884,23750.0,26800.0,Echolocation,Nyctalus leisleri,0.641,0.708,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
256.8665,256.8827,23750.0,28093.0,Echolocation,Nyctalus leisleri,0.488,0.566,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
257.0485,257.0645,23750.0,26084.0,Echolocation,Nyctalus leisleri,0.668,0.711,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
257.3185,257.3338,24609.0,28443.0,Echolocation,Nyctalus leisleri,0.387,0.506,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
257.6185,257.6311,24609.0,28429.0,Echolocation,Nyctalus leisleri,0.44,0.534,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
257.77049999999997,257.78340000000003,24609.0,28536.0,Echolocation,Nyctalus leisleri,0.432,0.555,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
258.1935,258.2093,23750.0,26298.0,Echolocation,Nyctalus leisleri,0.683,0.72,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
258.3235,258.3356,24609.0,29866.0,Echolocation,Nyctalus leisleri,0.605,0.723,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
258.8965,258.9115,23750.0,28715.0,Echolocation,Nyctalus leisleri,0.341,0.554,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
259.3245,259.3391,23750.0,27685.0,Echolocation,Nyctalus leisleri,0.577,0.665,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
259.6325,259.6486,23750.0,27172.0,Echolocation,Nyctalus leisleri,0.621,0.675,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
259.7925,259.809,23750.0,26539.0,Echolocation,Nyctalus leisleri,0.665,0.705,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
260.0755,260.0908,23750.0,27500.0,Echolocation,Nyctalus leisleri,0.615,0.672,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
260.5265,260.5417,23750.0,27826.0,Echolocation,Nyctalus leisleri,0.535,0.651,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
260.8335,260.8489,23750.0,27307.0,Echolocation,Nyctalus leisleri,0.605,0.671,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
261.85450000000003,261.8713,23750.0,26871.0,Echolocation,Nyctalus leisleri,0.58,0.638,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
262.4435,262.4597,23750.0,27233.0,Echolocation,Nyctalus leisleri,0.481,0.541,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
273.7275,273.7374,25468.0,32083.0,Echolocation,Nyctalus leisleri,0.415,0.698,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
335.6805,335.6937,25468.0,30095.0,Echolocation,Nyctalus leisleri,0.461,0.612,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
335.8115,335.8256,24609.0,28865.0,Echolocation,Nyctalus leisleri,0.389,0.564,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
336.0615,336.0778,24609.0,28651.0,Echolocation,Nyctalus leisleri,0.446,0.562,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
444.1985,444.2112,23750.0,29377.0,Echolocation,Nyctalus leisleri,0.471,0.611,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
444.5875,444.5994,24609.0,29040.0,Echolocation,Nyctalus leisleri,0.38,0.508,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
444.9635,444.9757,23750.0,30682.0,Echolocation,Nyctalus leisleri,0.374,0.661,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
445.2065,445.2161,24609.0,31525.0,Echolocation,Nyctalus leisleri,0.39,0.638,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
445.4455,445.4588,24609.0,29729.0,Echolocation,Nyctalus leisleri,0.411,0.579,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
445.6945,445.7069,24609.0,31422.0,Echolocation,Nyctalus leisleri,0.278,0.577,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
445.9415,445.9524,23750.0,32483.0,Echolocation,Nyctalus leisleri,0.374,0.699,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
446.0705,446.0824,24609.0,30906.0,Echolocation,Nyctalus leisleri,0.342,0.573,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
446.3075,446.3184,24609.0,29891.0,Echolocation,Nyctalus leisleri,0.315,0.52,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
446.4415,446.4519,25468.0,32092.0,Echolocation,Nyctalus leisleri,0.334,0.6,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
447.0705,447.0817,24609.0,31230.0,Echolocation,Nyctalus leisleri,0.409,0.649,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
447.4455,447.4572,23750.0,32575.0,Echolocation,Nyctalus leisleri,0.331,0.708,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
447.7005,447.714,22890.0,31489.0,Echolocation,Eptesicus serotinus,0.306,0.681,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
448.0675,448.0793,23750.0,32120.0,Echolocation,Nyctalus leisleri,0.315,0.709,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
448.3125,448.32529999999997,23750.0,30358.0,Echolocation,Nyctalus leisleri,0.44,0.645,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
448.5415,448.5535,23750.0,33879.0,Echolocation,Eptesicus serotinus,0.375,0.692,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
448.7855,448.7973,23750.0,33765.0,Echolocation,Nyctalus leisleri,0.372,0.706,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
449.0305,449.0406,24609.0,32642.0,Echolocation,Nyctalus leisleri,0.366,0.65,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
449.3005,449.3097,24609.0,33236.0,Echolocation,Eptesicus serotinus,0.365,0.652,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
449.5645,449.5747,24609.0,30592.0,Echolocation,Nyctalus leisleri,0.394,0.605,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
449.8205,449.8314,23750.0,32883.0,Echolocation,Eptesicus serotinus,0.362,0.694,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
450.2025,450.2136,23750.0,30683.0,Echolocation,Nyctalus leisleri,0.384,0.659,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
450.4535,450.4649,24609.0,30768.0,Echolocation,Nyctalus leisleri,0.293,0.584,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
450.9825,450.9929,23750.0,31114.0,Echolocation,Nyctalus leisleri,0.298,0.64,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
451.6275,451.639,23750.0,29673.0,Echolocation,Nyctalus leisleri,0.394,0.586,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
451.7645,451.776,24609.0,30049.0,Echolocation,Nyctalus leisleri,0.451,0.594,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
521.8565,521.8708,25468.0,31534.0,Echolocation,Nyctalus leisleri,0.294,0.555,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
523.1105,523.124,25468.0,30305.0,Echolocation,Nyctalus leisleri,0.469,0.656,-1,/mnt/ubna_data_02/recover-20220828/UBNA_009/20220826_043000.WAV,Foliage,recover-20220828,009
