start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
11.8395,11.8448,40937.0,50250.0,Pipistrellus nathusii,0.365,0.512,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
11.9055,11.912,40937.0,52323.0,Pipistrellus nathusii,0.399,0.513,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.0015,12.0072,40078.0,54806.0,Pipistrellus nathusii,0.474,0.509,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.0705,12.0765,40078.0,58644.0,Pipistrellus nathusii,0.626,0.694,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.1245,12.1314,40937.0,61395.0,Pipistrellus nathusii,0.423,0.64,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.2025,12.2095,40078.0,57188.0,Pipistrellus nathusii,0.49,0.665,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.3005,12.3074,40078.0,61233.0,Pipistrellus nathusii,0.674,0.722,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.3955,12.403,40078.0,62587.0,Pipistrellus nathusii,0.615,0.687,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.4675,12.4735,40078.0,61142.0,Pipistrellus nathusii,0.581,0.622,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.5345,12.5401,40937.0,60043.0,Pipistrellus nathusii,0.579,0.615,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.5805,12.5858,41796.0,60500.0,Pipistrellus nathusii,0.511,0.539,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.8635,12.87,39218.0,64059.0,Pipistrellus nathusii,0.273,0.545,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
12.9175,12.9233,40078.0,63170.0,Pipistrellus nathusii,0.496,0.579,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
13.0075,13.0137,40078.0,63384.0,Pipistrellus nathusii,0.667,0.718,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
13.1025,13.1097,39218.0,63616.0,Pipistrellus nathusii,0.738,0.768,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
13.1895,13.1961,40078.0,63515.0,Pipistrellus nathusii,0.511,0.636,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220723_043000.WAV,Telephone Field,recover-20220725,010,1795
