start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
32.1595,32.1662,38359.0,51306.0,Echolocation,Pipistrellus nathusii,0.381,0.508,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
116.2245,116.23310000000001,46093.0,52410.0,Echolocation,Pipistrellus pipistrellus,0.431,0.546,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
166.4985,166.5055,39218.0,51244.0,Echolocation,Pipistrellus nathusii,0.359,0.522,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
166.7975,166.8045,39218.0,47536.0,Echolocation,Pipistrellus nathusii,0.475,0.551,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
167.0045,167.0122,38359.0,47026.0,Echolocation,Pipistrellus nathusii,0.365,0.537,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
167.3745,167.3805,38359.0,50522.0,Echolocation,Pipistrellus nathusii,0.322,0.517,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
170.3445,170.3512,40078.0,51406.0,Echolocation,Pipistrellus nathusii,0.432,0.609,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
170.4635,170.4694,38359.0,57150.0,Echolocation,Pipistrellus nathusii,0.359,0.608,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
170.6235,170.6287,38359.0,55578.0,Echolocation,Pipistrellus nathusii,0.363,0.569,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
170.72050000000002,170.7281,39218.0,57865.0,Echolocation,Pipistrellus nathusii,0.457,0.577,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
170.91649999999998,170.9226,38359.0,55872.0,Echolocation,Pipistrellus nathusii,0.359,0.622,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
171.7905,171.7963,40078.0,52822.0,Echolocation,Pipistrellus nathusii,0.395,0.521,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
171.8785,171.8845,38359.0,54657.0,Echolocation,Pipistrellus nathusii,0.276,0.566,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
171.9635,171.9692,38359.0,57581.0,Echolocation,Pipistrellus nathusii,0.347,0.59,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
175.4985,175.5045,41796.0,52453.0,Echolocation,Pipistrellus nathusii,0.345,0.505,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
184.5175,184.523,39218.0,55219.0,Echolocation,Pipistrellus nathusii,0.254,0.515,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
184.6155,184.6233,40078.0,49152.0,Echolocation,Pipistrellus nathusii,0.409,0.563,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
185.2145,185.2211,38359.0,55543.0,Echolocation,Pipistrellus nathusii,0.351,0.567,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
185.6035,185.6093,39218.0,52881.0,Echolocation,Pipistrellus nathusii,0.44,0.585,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
185.7045,185.7111,40078.0,57433.0,Echolocation,Pipistrellus nathusii,0.486,0.64,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
185.8065,185.8136,39218.0,59091.0,Echolocation,Pipistrellus nathusii,0.422,0.61,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
185.9005,185.9065,38359.0,54417.0,Echolocation,Pipistrellus nathusii,0.342,0.555,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
186.0055,186.0128,39218.0,59794.0,Echolocation,Pipistrellus nathusii,0.286,0.542,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
186.2105,186.2174,38359.0,58025.0,Echolocation,Pipistrellus nathusii,0.246,0.55,-1,/mnt/ubna_data_01_mir/recover-20220725/UBNA_010/20220724_080000.WAV,Telephone Field,recover-20220725,010,1795
