start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
3.9545,3.9597,46953.0,56436.0,Pipistrellus pipistrellus,0.522,0.541,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
55.664500000000004,55.6695,46093.0,54327.0,Pipistrellus pipistrellus,0.527,0.55,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
55.9625,55.968900000000005,46093.0,52916.0,Pipistrellus pipistrellus,0.569,0.617,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
56.445499999999996,56.4518,46093.0,52181.0,Pipistrellus pipistrellus,0.52,0.537,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
84.6375,84.6438,42656.0,55659.0,Pipistrellus nathusii,0.156,0.502,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
90.7665,90.7745,43515.0,56560.0,Pipistrellus pipistrellus,0.203,0.522,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
91.2705,91.2786,41796.0,50638.0,Pipistrellus nathusii,0.318,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
102.6725,102.6794,47812.0,58909.0,Pipistrellus pipistrellus,0.562,0.654,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
102.7705,102.7774,46953.0,64419.0,Pipistrellus pipistrellus,0.563,0.678,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
102.8815,102.8892,47812.0,64651.0,Pipistrellus pipistrellus,0.539,0.676,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
102.9805,102.9874,47812.0,62923.0,Pipistrellus pipistrellus,0.543,0.671,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.0895,103.0979,47812.0,61224.0,Pipistrellus pipistrellus,0.481,0.639,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.2625,103.2695,46953.0,65629.0,Pipistrellus pipistrellus,0.521,0.721,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.3695,103.3801,46953.0,62214.0,Pipistrellus pipistrellus,0.393,0.576,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.5525,103.5604,46093.0,70354.0,Pipistrellus pipistrellus,0.548,0.682,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.6425,103.65,47812.0,70609.0,Pipistrellus pipistrellus,0.459,0.686,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.7405,103.7496,46093.0,67598.0,Pipistrellus pipistrellus,0.507,0.686,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.8425,103.8494,47812.0,73479.0,Pipistrellus pipistrellus,0.528,0.689,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
103.9465,103.9541,46953.0,62738.0,Pipistrellus pipistrellus,0.534,0.626,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.0465,104.0558,45234.0,69612.0,Pipistrellus pipistrellus,0.517,0.645,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.14750000000001,104.1566,44375.0,72953.0,Pipistrellus pipistrellus,0.544,0.684,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.2485,104.257,46093.0,65793.0,Pipistrellus pipistrellus,0.555,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.3545,104.3618,44375.0,73846.0,Pipistrellus pipistrellus,0.527,0.672,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.4645,104.4728,46953.0,66742.0,Pipistrellus pipistrellus,0.527,0.656,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.5555,104.563,46093.0,71414.0,Pipistrellus pipistrellus,0.574,0.669,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
104.8145,104.8205,42656.0,65191.0,Pipistrellus pipistrellus,0.496,0.583,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
105.0825,105.09,46953.0,60040.0,Pipistrellus pipistrellus,0.571,0.636,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
105.2955,105.3024,47812.0,61417.0,Pipistrellus pipistrellus,0.651,0.689,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
105.4965,105.5026,47812.0,61794.0,Pipistrellus pipistrellus,0.674,0.731,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
105.7035,105.7112,46953.0,60665.0,Pipistrellus pipistrellus,0.536,0.638,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
105.9055,105.91159999999999,47812.0,57147.0,Pipistrellus pipistrellus,0.557,0.593,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
106.1055,106.1121,47812.0,56099.0,Pipistrellus pipistrellus,0.499,0.546,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
106.3295,106.3372,46953.0,55626.0,Pipistrellus pipistrellus,0.497,0.547,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
106.9975,107.0041,47812.0,55699.0,Pipistrellus pipistrellus,0.635,0.667,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.1805,121.1834,48671.0,70899.0,Myotis alcathoe,0.39,0.509,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.2345,121.237,47812.0,65747.0,Myotis alcathoe,0.386,0.551,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.2905,121.2932,46093.0,74879.0,Myotis alcathoe,0.471,0.614,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.3525,121.3554,45234.0,72948.0,Myotis alcathoe,0.442,0.642,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.4315,121.4344,46093.0,72687.0,Myotis alcathoe,0.381,0.594,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.5005,121.503,46093.0,63787.0,Myotis alcathoe,0.332,0.542,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.5985,121.6019,45234.0,78319.0,Myotis alcathoe,0.458,0.567,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.7315,121.7343,46093.0,73299.0,Myotis alcathoe,0.367,0.505,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
121.9525,121.9549,48671.0,62246.0,Myotis alcathoe,0.307,0.505,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
122.6505,122.6578,46953.0,62557.0,Pipistrellus pipistrellus,0.472,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
122.7965,122.8007,49531.0,62207.0,Pipistrellus pipistrellus,0.477,0.523,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
123.2985,123.3061,48671.0,55130.0,Pipistrellus pipistrellus,0.524,0.539,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
123.6795,123.6857,45234.0,61800.0,Pipistrellus pipistrellus,0.426,0.613,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
123.8295,123.8336,44375.0,60674.0,Pipistrellus pipistrellus,0.562,0.639,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
124.1345,124.1379,52968.0,67424.0,Myotis alcathoe,0.327,0.511,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
124.2475,124.2503,55546.0,71313.0,Myotis alcathoe,0.397,0.503,-1,Echolocation,/mnt/ubna_data_02/recover-20220905/UBNA_007/20220903_113000.WAV,recover-20220905,UBNA_007,Telephone Field
