start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
96.9105,96.915,43515.0,57273.0,Echolocation,Pipistrellus pipistrellus,0.496,0.6,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
97.6455,97.6524,46953.0,54209.0,Echolocation,Pipistrellus pipistrellus,0.492,0.518,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
409.3115,409.3173,47812.0,57034.0,Echolocation,Pipistrellus pipistrellus,0.504,0.548,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
410.0045,410.0123,47812.0,54412.0,Echolocation,Pipistrellus pipistrellus,0.604,0.63,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
410.4585,410.4652,45234.0,54359.0,Echolocation,Pipistrellus pipistrellus,0.559,0.667,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
410.6585,410.6647,44375.0,50552.0,Echolocation,Pipistrellus pipistrellus,0.533,0.553,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
410.9135,410.9198,44375.0,50875.0,Echolocation,Pipistrellus pipistrellus,0.491,0.519,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
411.2555,411.2645,46093.0,51406.0,Echolocation,Pipistrellus pipistrellus,0.522,0.554,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
687.2855,687.2908,46953.0,57127.0,Echolocation,Pipistrellus pipistrellus,0.61,0.639,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
687.5725,687.5777,46093.0,54332.0,Echolocation,Pipistrellus pipistrellus,0.547,0.573,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.0825,730.0878,47812.0,59044.0,Echolocation,Pipistrellus pipistrellus,0.538,0.556,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.1765,730.1814,48671.0,61420.0,Echolocation,Pipistrellus pipistrellus,0.556,0.57,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.2685,730.275,46953.0,55457.0,Echolocation,Pipistrellus pipistrellus,0.536,0.549,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.3565,730.3613,47812.0,61455.0,Echolocation,Pipistrellus pipistrellus,0.64,0.65,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.4425,730.4474,47812.0,59461.0,Echolocation,Pipistrellus pipistrellus,0.573,0.588,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.5345,730.5405,47812.0,58395.0,Echolocation,Pipistrellus pipistrellus,0.646,0.684,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.6255,730.6313,47812.0,58514.0,Echolocation,Pipistrellus pipistrellus,0.547,0.556,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.7205,730.7265,48671.0,59030.0,Echolocation,Pipistrellus pipistrellus,0.651,0.664,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
730.8155,730.8213,46953.0,56669.0,Echolocation,Pipistrellus pipistrellus,0.581,0.613,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
731.0065,731.0122,46953.0,55041.0,Echolocation,Pipistrellus pipistrellus,0.514,0.521,-1,/mnt/ubna_data_02/recover-20220915/UBNA_001/20220913_040000.WAV,recover-20220915,UBNA_001,Telephone Field
