start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card
18.1085,18.1131,45234.0,61677.0,Pipistrellus pipistrellus,0.557,0.603,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
18.2825,18.2884,46093.0,61985.0,Pipistrellus pipistrellus,0.55,0.599,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
18.3775,18.3851,46953.0,57276.0,Pipistrellus pipistrellus,0.508,0.543,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
18.4575,18.463,46093.0,63739.0,Pipistrellus pipistrellus,0.57,0.689,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
18.6825,18.6877,46953.0,60216.0,Pipistrellus pipistrellus,0.639,0.678,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
18.8465,18.8514,46093.0,61065.0,Pipistrellus pipistrellus,0.595,0.636,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
19.0325,19.0369,46953.0,62731.0,Pipistrellus pipistrellus,0.59,0.622,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
19.3845,19.3898,47812.0,62705.0,Pipistrellus pipistrellus,0.57,0.603,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
81.74549999999999,81.7515,45234.0,53985.0,Pipistrellus pipistrellus,0.486,0.525,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
218.3895,218.3973,42656.0,49649.0,Pipistrellus pipistrellus,0.27,0.562,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
230.5825,230.5871,46953.0,65124.0,Pipistrellus pipistrellus,0.515,0.573,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
230.7645,230.7703,46953.0,57939.0,Pipistrellus pipistrellus,0.554,0.57,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
231.0255,231.0309,46953.0,60756.0,Pipistrellus pipistrellus,0.686,0.722,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
231.4765,231.4828,46093.0,59015.0,Pipistrellus pipistrellus,0.549,0.68,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
231.7275,231.7381,45234.0,63790.0,Pipistrellus pipistrellus,0.43,0.651,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
232.1905,232.1975,44375.0,64231.0,Pipistrellus pipistrellus,0.599,0.669,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
232.3795,232.385,46093.0,54791.0,Pipistrellus pipistrellus,0.493,0.522,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
232.5625,232.569,45234.0,61130.0,Pipistrellus pipistrellus,0.567,0.613,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
232.8475,232.8544,46093.0,54478.0,Pipistrellus pipistrellus,0.507,0.599,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
233.3725,233.3781,45234.0,59118.0,Pipistrellus pipistrellus,0.58,0.649,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.3115,236.3188,48671.0,56204.0,Pipistrellus pipistrellus,0.532,0.565,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.4025,236.4079,48671.0,61280.0,Pipistrellus pipistrellus,0.536,0.551,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.4915,236.4983,48671.0,58531.0,Pipistrellus pipistrellus,0.531,0.563,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.5845,236.591,48671.0,58263.0,Pipistrellus pipistrellus,0.554,0.572,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.6775,236.6838,47812.0,55863.0,Pipistrellus pipistrellus,0.599,0.614,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.7695,236.77609999999999,47812.0,57114.0,Pipistrellus pipistrellus,0.524,0.545,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.8585,236.8646,46953.0,58578.0,Pipistrellus pipistrellus,0.49,0.524,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
236.9545,236.9611,47812.0,61807.0,Pipistrellus pipistrellus,0.58,0.644,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
237.0515,237.0576,47812.0,56924.0,Pipistrellus pipistrellus,0.532,0.573,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
237.1465,237.154,47812.0,62909.0,Pipistrellus pipistrellus,0.486,0.606,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
237.2945,237.3007,46953.0,59323.0,Pipistrellus pipistrellus,0.569,0.674,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
237.5595,237.5682,45234.0,64803.0,Pipistrellus pipistrellus,0.47,0.563,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
237.8225,237.8294,46953.0,59840.0,Pipistrellus pipistrellus,0.553,0.653,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
238.0165,238.0233,47812.0,64217.0,Pipistrellus pipistrellus,0.521,0.669,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
238.2685,238.2756,46093.0,62119.0,Pipistrellus pipistrellus,0.603,0.676,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
238.3605,238.3671,46953.0,60399.0,Pipistrellus pipistrellus,0.579,0.606,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
239.5255,239.5321,45234.0,53742.0,Pipistrellus pipistrellus,0.497,0.57,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
240.9525,240.9584,45234.0,55672.0,Pipistrellus pipistrellus,0.524,0.631,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
241.3435,241.3487,46953.0,55973.0,Pipistrellus pipistrellus,0.526,0.559,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
246.7015,246.7074,43515.0,54919.0,Pipistrellus pipistrellus,0.43,0.506,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
248.6855,248.6917,47812.0,59969.0,Pipistrellus pipistrellus,0.443,0.515,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
248.8535,248.8603,46093.0,62005.0,Pipistrellus pipistrellus,0.529,0.702,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.0345,249.04149999999998,46953.0,65468.0,Pipistrellus pipistrellus,0.498,0.668,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.2045,249.2129,46953.0,62967.0,Pipistrellus pipistrellus,0.446,0.715,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.2975,249.3055,46093.0,58434.0,Pipistrellus pipistrellus,0.404,0.533,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.3905,249.3976,46953.0,63536.0,Pipistrellus pipistrellus,0.551,0.723,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.4875,249.4947,46093.0,58364.0,Pipistrellus pipistrellus,0.513,0.653,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.6515,249.6576,46093.0,66139.0,Pipistrellus pipistrellus,0.527,0.694,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.7485,249.7548,46093.0,57404.0,Pipistrellus pipistrellus,0.444,0.561,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
249.8365,249.8433,46953.0,67808.0,Pipistrellus pipistrellus,0.502,0.64,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.0015,250.0069,46093.0,65818.0,Pipistrellus pipistrellus,0.55,0.589,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.0895,250.095,47812.0,61955.0,Pipistrellus pipistrellus,0.631,0.67,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.3415,250.3497,44375.0,69623.0,Pipistrellus pipistrellus,0.566,0.677,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.4455,250.4523,46953.0,60972.0,Pipistrellus pipistrellus,0.458,0.515,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.6235,250.6288,45234.0,62686.0,Pipistrellus pipistrellus,0.634,0.666,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.7175,250.7241,46093.0,66177.0,Pipistrellus pipistrellus,0.529,0.682,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
250.9095,250.9158,46953.0,57964.0,Pipistrellus pipistrellus,0.538,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.0095,251.0161,46953.0,60781.0,Pipistrellus pipistrellus,0.545,0.595,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.2625,251.269,45234.0,64607.0,Pipistrellus pipistrellus,0.551,0.659,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.4365,251.4426,46953.0,56033.0,Pipistrellus pipistrellus,0.642,0.66,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.5175,251.5231,46953.0,60159.0,Pipistrellus pipistrellus,0.544,0.579,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.6025,251.6081,46093.0,69526.0,Pipistrellus pipistrellus,0.56,0.633,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.6795,251.6865,46093.0,68162.0,Pipistrellus pipistrellus,0.554,0.637,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.7495,251.7552,46093.0,70262.0,Pipistrellus pipistrellus,0.509,0.586,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.8225,251.8277,45234.0,69296.0,Pipistrellus pipistrellus,0.536,0.609,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.8955,251.902,45234.0,79546.0,Pipistrellus pipistrellus,0.334,0.553,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
251.9755,251.9809,46953.0,69414.0,Pipistrellus pipistrellus,0.543,0.612,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
253.3115,253.3173,46093.0,61393.0,Pipistrellus pipistrellus,0.577,0.708,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
253.4035,253.4105,46093.0,54170.0,Pipistrellus pipistrellus,0.469,0.538,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
253.5975,253.6032,46093.0,56681.0,Pipistrellus pipistrellus,0.481,0.526,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
254.1295,254.1366,45234.0,55541.0,Pipistrellus pipistrellus,0.458,0.517,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
254.6225,254.6283,46093.0,57917.0,Pipistrellus pipistrellus,0.509,0.532,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
254.9535,254.9589,46953.0,58635.0,Pipistrellus pipistrellus,0.613,0.635,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.0505,255.0578,46953.0,57017.0,Pipistrellus pipistrellus,0.494,0.524,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.2365,255.2423,47812.0,56658.0,Pipistrellus pipistrellus,0.582,0.589,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.3975,255.40370000000001,46953.0,59990.0,Pipistrellus pipistrellus,0.645,0.669,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.5105,255.5168,46093.0,52966.0,Pipistrellus pipistrellus,0.571,0.593,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.5975,255.6055,46953.0,52437.0,Pipistrellus pipistrellus,0.513,0.539,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.7675,255.7735,46953.0,63940.0,Pipistrellus pipistrellus,0.571,0.614,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
255.9605,255.9672,46093.0,53001.0,Pipistrellus pipistrellus,0.562,0.574,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
256.2465,256.254,46953.0,60991.0,Pipistrellus pipistrellus,0.5,0.687,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
256.3415,256.3484,46953.0,53214.0,Pipistrellus pipistrellus,0.576,0.589,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
256.6215,256.6282,46093.0,64726.0,Pipistrellus pipistrellus,0.46,0.562,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
256.8175,256.8231,47812.0,60030.0,Pipistrellus pipistrellus,0.585,0.61,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
256.9245,256.9301,47812.0,57093.0,Pipistrellus pipistrellus,0.548,0.558,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.0035,257.0102,47812.0,67327.0,Pipistrellus pipistrellus,0.625,0.692,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.0975,257.105,46093.0,60871.0,Pipistrellus pipistrellus,0.457,0.575,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.70550000000003,257.7123,46093.0,63841.0,Pipistrellus pipistrellus,0.541,0.606,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.7975,257.8039,46093.0,59235.0,Pipistrellus pipistrellus,0.5,0.54,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.9035,257.9088,45234.0,63981.0,Pipistrellus pipistrellus,0.631,0.689,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
257.9945,258.001,45234.0,58220.0,Pipistrellus pipistrellus,0.554,0.59,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
258.0845,258.0899,46093.0,56030.0,Pipistrellus pipistrellus,0.526,0.535,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
258.2735,258.2793,44375.0,72445.0,Pipistrellus pipistrellus,0.379,0.522,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
258.47950000000003,258.4848,45234.0,58926.0,Pipistrellus pipistrellus,0.479,0.526,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
258.9595,258.9652,46953.0,55398.0,Pipistrellus pipistrellus,0.552,0.564,-1,Echolocation,/mnt/ubna_data_02/recover-20221017/UBNA_007/20221017_043000.WAV,Telephone Field,recover-20221017,007
