start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
212.8685,212.8835,23750.0,29880.0,Echolocation,Nyctalus leisleri,0.312,0.555,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
213.9305,213.9479,23750.0,29112.0,Echolocation,Nyctalus leisleri,0.34,0.508,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
214.3325,214.3472,24609.0,29537.0,Echolocation,Nyctalus leisleri,0.32,0.544,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
214.8605,214.8769,23750.0,27187.0,Echolocation,Nyctalus leisleri,0.428,0.51,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
215.3905,215.4071,23750.0,28515.0,Echolocation,Nyctalus leisleri,0.364,0.515,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
215.9075,215.9242,23750.0,28009.0,Echolocation,Nyctalus leisleri,0.445,0.543,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
216.9645,216.9818,22890.0,27695.0,Echolocation,Nyctalus leisleri,0.436,0.576,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
217.3695,217.3851,23750.0,28459.0,Echolocation,Nyctalus leisleri,0.558,0.657,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
217.7785,217.7945,22890.0,27549.0,Echolocation,Nyctalus leisleri,0.587,0.695,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
218.3005,218.3153,23750.0,29010.0,Echolocation,Nyctalus leisleri,0.531,0.667,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
218.82150000000001,218.8383,22890.0,27017.0,Echolocation,Nyctalus leisleri,0.507,0.603,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
219.3445,219.3598,23750.0,28422.0,Echolocation,Nyctalus leisleri,0.51,0.621,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
219.8655,219.8824,22890.0,27304.0,Echolocation,Nyctalus leisleri,0.462,0.561,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
220.3875,220.4014,23750.0,28684.0,Echolocation,Nyctalus leisleri,0.523,0.626,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
220.9115,220.928,23750.0,27910.0,Echolocation,Nyctalus leisleri,0.565,0.65,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
221.4355,221.4511,22890.0,27984.0,Echolocation,Nyctalus leisleri,0.491,0.63,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
221.9605,221.9777,23750.0,27351.0,Echolocation,Nyctalus leisleri,0.482,0.553,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
222.4875,222.5041,22890.0,28098.0,Echolocation,Nyctalus leisleri,0.411,0.595,-1,/mnt/ubna_data_02/recover-20221208/UBNA_007/20221129_023000.WAV,Telephone Field,recover-20221208,007,300
